aX,aY,aZ,gX,gY,gZ
0.098,0.953,-0.249,-1.038,0.610,-1.343
0.099,0.953,-0.250,-0.977,0.610,-1.343
0.099,0.952,-0.250,-0.916,0.610,-1.221
0.099,0.953,-0.251,-0.916,0.610,-1.160
0.101,0.954,-0.250,-1.221,0.671,-1.160
0.101,0.954,-0.250,-0.793,0.854,-1.099
0.101,0.955,-0.249,-0.793,0.671,-0.854
0.100,0.955,-0.249,-0.854,0.671,-0.732
0.099,0.954,-0.250,-0.793,0.610,-0.610
0.099,0.954,-0.250,-0.793,0.610,-0.732
0.098,0.954,-0.251,-0.732,0.671,-0.793
0.099,0.953,-0.250,-0.671,0.549,-0.549
0.099,0.953,-0.249,-0.671,0.549,-0.732
0.097,0.954,-0.248,-0.732,0.610,-0.793
0.095,0.954,-0.246,-0.488,0.732,-0.610
0.095,0.954,-0.246,-0.671,0.732,-0.610
0.095,0.956,-0.245,-0.793,0.732,-0.793
0.097,0.954,-0.245,-0.977,0.793,-0.793
0.097,0.954,-0.244,-0.854,0.732,-0.732
0.096,0.953,-0.245,-0.977,0.488,-0.854
0.096,0.953,-0.246,-1.160,0.610,-0.977
0.096,0.954,-0.247,-1.099,0.610,-0.793
0.097,0.956,-0.248,-1.282,0.610,-0.732
0.097,0.953,-0.250,-0.977,0.793,-0.854
0.097,0.954,-0.250,-1.160,0.854,-0.977
0.097,0.954,-0.250,-1.221,0.732,-0.977
0.098,0.954,-0.250,-1.099,0.671,-0.916
0.099,0.955,-0.251,-0.732,0.793,-0.793
0.099,0.957,-0.251,-0.854,0.671,-0.916
0.099,0.954,-0.250,-0.732,0.610,-0.793
0.098,0.952,-0.250,-0.854,0.549,-0.732
0.096,0.953,-0.249,-0.854,0.610,-0.732
0.097,0.954,-0.250,-0.549,0.549,-0.610
0.099,0.954,-0.250,-0.427,0.610,-0.610
0.099,0.953,-0.249,-0.732,0.549,-0.671
0.099,0.953,-0.249,-0.793,0.610,-0.854
0.096,0.954,-0.249,-0.549,0.488,-0.793
0.091,0.954,-0.249,-0.732,0.488,-0.916
0.094,0.955,-0.247,-0.488,0.793,-0.916
0.098,0.956,-0.246,-0.366,0.854,-0.793
0.103,0.957,-0.246,-0.793,0.854,-0.854
0.101,0.955,-0.247,-0.732,0.610,-0.732
0.099,0.954,-0.248,-0.854,0.549,-0.854
0.095,0.952,-0.248,-0.793,0.610,-0.671
0.094,0.952,-0.248,-0.793,0.732,-0.732
0.095,0.953,-0.247,-0.671,0.671,-0.732
0.094,0.955,-0.247,-0.793,0.610,-0.854
0.095,0.955,-0.247,-0.671,0.793,-0.854
0.097,0.955,-0.248,-0.916,0.793,-0.793
0.097,0.955,-0.247,-0.854,0.854,-0.793
0.098,0.954,-0.247,-0.854,0.610,-0.977
0.099,0.952,-0.247,-1.038,0.549,-0.916
0.097,0.951,-0.247,-1.160,0.610,-1.038
0.097,0.954,-0.248,-0.977,0.549,-0.977
0.097,0.954,-0.247,-0.977,0.671,-0.916
0.098,0.954,-0.248,-0.977,0.793,-0.793
0.099,0.954,-0.249,-1.038,0.610,-0.916
0.097,0.952,-0.249,-0.977,0.793,-0.793
0.096,0.953,-0.250,-1.099,0.793,-0.977
0.098,0.953,-0.248,-1.099,0.854,-0.977
0.100,0.953,-0.248,-0.977,0.854,-1.038
0.098,0.954,-0.248,-0.854,0.732,-1.038
0.096,0.953,-0.249,-0.732,0.610,-0.854
0.097,0.955,-0.249,-0.793,0.549,-0.854
0.097,0.954,-0.248,-0.854,0.549,-0.854
0.098,0.953,-0.249,-0.610,0.732,-0.854
0.098,0.953,-0.249,-0.732,0.610,-0.793
0.099,0.953,-0.248,-0.854,0.671,-0.793
0.098,0.954,-0.249,-0.793,0.610,-0.916
0.097,0.955,-0.248,-0.671,0.488,-0.732
0.097,0.954,-0.248,-0.793,0.732,-0.732
0.099,0.955,-0.247,-0.854,0.671,-0.732
0.099,0.954,-0.250,-0.549,0.610,-0.671
0.099,0.953,-0.249,-0.671,0.732,-0.549
0.098,0.954,-0.250,-0.793,0.549,-0.671
0.098,0.955,-0.248,-0.671,0.488,-0.793
0.096,0.954,-0.249,-0.793,0.549,-0.793
0.096,0.954,-0.247,-0.427,0.549,-0.549
0.097,0.953,-0.248,-0.427,0.549,-0.671
0.096,0.953,-0.248,-0.488,0.427,-0.793
0.097,0.954,-0.248,-0.488,0.610,-0.793
0.096,0.954,-0.247,-0.549,0.488,-0.732
0.096,0.954,-0.246,-0.793,0.671,-0.671
0.096,0.956,-0.245,-0.671,0.427,-0.916
0.097,0.953,-0.245,-0.977,0.549,-0.977
0.097,0.952,-0.246,-0.977,0.671,-1.038
0.095,0.953,-0.246,-0.793,0.671,-0.854
0.096,0.953,-0.246,-1.099,0.610,-0.977
0.097,0.954,-0.247,-1.160,0.610,-1.099
0.098,0.953,-0.247,-0.916,0.671,-0.977
0.097,0.952,-0.248,-1.038,0.610,-0.916
0.097,0.954,-0.249,-1.038,0.549,-0.977
0.096,0.954,-0.250,-0.793,0.549,-0.854
0.096,0.953,-0.250,-0.916,0.671,-1.160
0.097,0.952,-0.248,-0.854,0.854,-1.038
0.101,0.956,-0.249,-0.671,0.732,-0.977
0.102,0.957,-0.249,-0.671,0.671,-0.854
0.102,0.955,-0.250,-0.977,0.549,-0.732
0.098,0.954,-0.250,-0.916,0.488,-0.793
0.096,0.954,-0.249,-0.732,0.610,-0.671
0.095,0.953,-0.247,-0.854,0.854,-0.671
0.096,0.954,-0.247,-0.732,0.916,-0.793
0.097,0.955,-0.247,-0.671,0.793,-0.732
0.098,0.955,-0.247,-0.793,0.793,-0.732
0.097,0.955,-0.246,-0.793,0.793,-0.610
0.097,0.955,-0.246,-0.916,0.793,-0.610
0.098,0.954,-0.247,-1.038,0.732,-0.671
0.098,0.953,-0.248,-1.038,0.854,-0.793
0.097,0.953,-0.248,-0.977,0.671,-0.732
0.097,0.953,-0.249,-0.854,0.671,-0.854
0.096,0.954,-0.250,-0.916,0.732,-0.854
0.098,0.954,-0.250,-0.977,0.793,-0.854
0.098,0.954,-0.250,-0.854,0.671,-0.793
0.099,0.953,-0.249,-0.732,0.671,-0.793
0.098,0.953,-0.248,-0.732,0.732,-0.916
0.097,0.954,-0.249,-0.610,0.610,-0.793
0.098,0.954,-0.248,-0.671,0.610,-0.793
0.097,0.953,-0.250,-0.732,0.488,-0.793
0.097,0.954,-0.249,-0.671,0.427,-0.854
0.097,0.954,-0.249,-0.610,0.427,-0.793
0.097,0.954,-0.249,-0.549,0.366,-0.732

0.099,0.953,-0.246,-1.282,0.793,-1.099
0.099,0.952,-0.245,-1.282,0.732,-0.916
0.097,0.954,-0.245,-1.282,0.793,-1.160
