aX,aY,aZ,gX,gY,gZ
0.423,1.039,0.026,-6.775,4.395,49.927
0.223,0.986,-0.441,-8.301,-0.122,53.955
-0.876,1.172,-0.215,-12.756,3.174,65.674
0.871,0.960,0.334,-9.399,13.367,59.448
-0.460,1.224,-0.722,-9.705,0.793,69.336
-0.148,1.064,0.369,-17.151,10.986,73.364
0.523,1.189,-0.100,-14.709,4.395,73.059
-0.349,1.141,0.060,-15.808,4.639,78.308
-0.071,1.194,-0.024,-21.179,0.366,79.895
-0.001,1.194,-0.044,-18.372,-3.540,82.031
0.190,1.147,0.030,-22.705,-6.165,83.679
-0.114,1.264,-0.111,-22.400,-9.399,89.661
0.111,1.206,-0.010,-22.827,-8.118,91.675
-0.233,1.231,-0.399,-24.658,-12.268,98.511
0.207,1.234,0.107,-23.804,-3.113,100.647
0.075,1.270,-0.320,-26.550,-4.578,106.934
-0.292,1.372,-0.251,-28.259,1.770,114.807
0.175,1.404,-0.169,-27.771,11.230,117.676
-0.050,1.545,-0.248,-28.320,18.494,126.526
0.124,1.497,-0.128,-30.823,30.945,136.841
0.177,1.576,-0.030,-31.921,37.964,146.790
0.279,1.635,-0.016,-29.419,46.570,150.879
0.203,1.751,-0.159,-33.569,52.490,155.457
0.648,1.898,-0.038,-32.654,61.584,163.879
0.778,1.786,-0.253,-31.494,59.387,177.551
0.492,1.730,-0.209,-34.668,54.688,184.448
0.351,1.643,-0.312,-44.189,51.086,180.908
0.097,1.666,-0.324,-49.438,40.955,178.833
-0.238,1.687,-0.221,-48.645,29.907,175.171
-0.429,1.532,-0.278,-47.424,32.898,170.105
-0.016,1.507,-0.265,-43.884,42.786,157.471
0.290,1.527,-0.305,-37.781,48.828,149.475
0.361,1.281,-0.228,-25.696,59.204,141.235
0.593,0.881,-0.226,-20.996,69.946,123.535
0.497,0.705,-0.037,-13.367,73.853,105.469
-0.141,0.390,-0.329,-8.179,58.105,94.971
-0.250,0.223,-0.195,-3.479,33.875,77.881
0.414,0.317,-0.092,-1.892,10.498,51.880
0.477,0.522,0.024,-5.554,-10.010,32.959
0.552,0.616,-0.091,5.676,-16.846,7.385
0.204,0.401,-0.084,-6.531,-20.874,-4.578
0.098,0.621,0.078,0.244,-21.790,-14.343
0.369,0.299,0.117,9.644,-16.785,-30.884
0.447,0.184,0.120,16.846,-12.817,-50.171
0.418,0.217,0.054,22.217,-9.827,-69.946
0.354,0.323,0.041,27.161,-7.874,-86.731
0.289,0.417,0.033,32.654,-8.911,-100.891
0.220,0.441,0.005,37.231,-12.085,-113.647
0.142,0.457,-0.056,41.016,-15.320,-126.892
0.092,0.458,-0.089,45.593,-15.564,-140.991
0.104,0.460,-0.130,48.340,-15.869,-155.823
0.122,0.491,-0.106,49.683,-18.860,-170.105
0.178,0.553,-0.087,51.392,-24.109,-184.814
0.203,0.599,-0.075,53.406,-30.579,-198.181
0.215,0.669,-0.082,54.993,-36.011,-210.449
0.163,0.740,-0.063,57.739,-37.048,-221.741
0.151,0.796,-0.052,59.387,-34.363,-231.323
0.142,0.869,-0.035,59.082,-29.541,-239.014
0.092,0.970,-0.022,59.509,-22.461,-244.629
0.040,1.046,-0.021,59.448,-13.489,-249.207
0.030,1.119,-0.002,59.387,-4.333,-253.540
0.096,1.179,-0.046,56.580,1.831,-259.705
0.032,1.321,-0.092,54.810,9.583,-265.991
-0.106,1.440,-0.139,49.561,14.832,-276.062
0.014,1.362,-0.172,37.476,9.338,-281.006
0.092,1.628,-0.231,37.109,22.644,-297.119
0.165,1.807,-0.173,37.476,15.137,-303.955
0.270,2.074,-0.152,60.181,-0.916,-273.376
0.030,2.027,-0.138,60.242,-11.658,-267.761
-0.201,2.023,-0.111,57.922,-20.935,-261.108
-0.481,1.941,-0.072,51.697,-21.912,-256.653
-0.611,1.993,-0.126,44.373,-19.409,-256.287
-0.706,2.002,-0.176,37.415,-17.456,-248.779
-0.778,1.979,-0.303,27.405,-13.428,-238.342
-0.778,1.991,-0.377,23.071,-12.756,-223.572
-0.847,1.854,-0.418,17.090,-15.869,-207.336
-0.983,1.616,-0.521,5.127,-20.874,-189.453
-1.072,1.548,-0.560,1.892,-27.100,-168.152
-1.188,1.392,-0.507,-0.122,-28.931,-142.029
-1.376,1.418,-0.459,3.174,-24.963,-110.779
-1.542,1.322,-0.358,9.705,-14.404,-74.036
-1.484,1.129,-0.344,9.033,-9.155,-36.072
-1.182,1.075,-0.409,3.601,-10.132,-1.526
-0.859,1.135,-0.343,-4.761,-18.250,25.696
-0.731,1.140,-0.346,-13.245,-25.452,45.837
-0.680,1.170,-0.258,-18.677,-33.081,60.364
-0.672,1.161,-0.223,-21.851,-40.955,72.754
-0.728,1.195,-0.098,-18.311,-45.166,87.769
-0.416,1.182,0.033,-30.273,-43.762,102.722
0.382,1.511,0.074,-20.935,-25.330,97.900
1.701,1.105,0.542,-13.977,-12.329,78.552
1.419,0.762,0.421,-20.691,8.728,75.562
0.781,0.812,0.482,-21.667,7.996,75.134
-0.310,0.883,-0.090,-40.161,-39.124,87.402
-0.389,1.196,-0.175,-68.909,-56.702,105.103
-0.641,1.919,0.079,-58.777,-45.227,113.586
0.041,1.572,0.283,-37.476,-34.546,103.516
0.421,1.157,0.026,-42.358,-39.124,87.585
0.341,1.209,-0.031,-44.983,-48.706,79.102
0.039,1.240,-0.264,-42.847,-53.589,82.825
0.199,1.176,-0.306,-37.476,-64.758,76.050
-0.035,1.071,-0.359,-36.194,-61.646,70.801
0.068,1.138,0.186,-29.236,-36.560,71.838
-0.151,0.888,-0.291,-26.611,-25.024,73.059
-0.124,0.955,-0.265,-26.428,-10.132,71.411
-0.037,1.049,-0.070,-17.395,7.324,66.895
-0.046,1.128,0.025,-6.592,23.865,63.416
-0.120,0.863,-0.254,-12.573,35.706,61.340
0.444,1.192,0.006,-19.409,38.147,61.951
0.121,1.045,0.027,-25.085,37.048,60.486
0.125,1.057,0.090,-25.391,36.255,62.195
0.584,0.876,0.138,-23.560,29.602,56.763
0.053,0.874,-0.120,-32.471,19.714,56.335
0.390,1.086,0.032,-25.146,13.611,49.927
0.302,0.862,-0.123,-27.283,6.165,45.715
-0.215,1.074,-0.217,-28.564,0.732,50.598
0.269,1.066,-0.008,-19.104,0.671,44.495
0.707,0.830,-0.098,-17.273,0.366,38.025
-0.588,0.986,-0.379,-23.743,-2.808,47.302

0.303,0.514,-0.040,-13.000,56.763,84.900
-0.334,0.279,-0.419,-13.367,48.218,70.374
-0.463,0.264,-0.334,-10.315,41.992,55.420
0.080,0.433,-0.148,-7.202,36.560,34.668
0.223,0.540,0.013,-10.071,27.710,20.569
0.235,0.850,0.012,3.540,30.151,3.906
0.051,0.271,-0.002,8.911,34.241,-10.498
0.056,0.320,0.040,5.188,26.917,-17.456
0.224,0.339,0.171,13.977,25.940,-32.288
0.325,0.197,0.134,21.973,25.391,-48.950
0.388,0.196,0.083,26.855,20.691,-67.566
0.417,0.239,0.041,29.846,13.489,-86.365
0.388,0.336,0.049,33.203,3.723,-102.051
0.311,0.353,-0.000,35.522,-5.798,-116.333
0.205,0.372,-0.038,37.537,-13.672,-128.723
0.131,0.415,-0.070,39.612,-21.240,-140.991
0.092,0.454,-0.073,43.091,-28.259,-153.198
0.094,0.458,-0.079,44.189,-36.682,-165.894
0.107,0.510,-0.054,45.715,-44.128,-179.749
0.069,0.554,-0.053,47.546,-47.302,-193.726
0.083,0.618,-0.061,48.523,-47.913,-205.811
0.103,0.641,-0.057,48.584,-47.302,-218.872
0.136,0.736,-0.046,52.307,-46.814,-228.699
0.130,0.782,-0.064,53.345,-43.030,-235.840
0.116,0.869,-0.067,53.589,-35.767,-242.615
0.072,0.983,-0.070,55.359,-23.743,-247.314
0.051,1.057,-0.062,56.641,-12.390,-250.244
0.063,1.147,-0.091,57.434,-4.272,-254.028
-0.052,1.277,-0.132,59.265,7.629,-257.935
-0.166,1.385,-0.190,62.500,23.376,-260.437
-0.150,1.473,-0.260,63.354,36.377,-263.794
-0.063,1.560,-0.274,60.486,44.617,-268.188
0.009,1.660,-0.246,55.969,46.631,-273.682
0.055,1.784,-0.172,50.720,43.762,-277.100
0.072,1.916,-0.135,46.814,34.668,-278.564
-0.071,1.999,-0.111,43.335,25.330,-276.611
-0.269,2.040,-0.058,37.537,16.479,-270.020
-0.496,2.030,-0.059,35.034,10.864,-259.521
-0.725,2.040,-0.051,30.701,10.193,-248.535
-0.782,1.983,-0.125,27.405,7.446,-235.168
-0.883,1.930,-0.199,23.682,4.028,-218.018
-0.914,1.883,-0.308,18.982,-0.305,-199.280
-0.957,1.819,-0.455,15.564,-12.817,-177.185
-1.129,1.661,-0.507,12.390,-23.560,-152.222
-1.361,1.420,-0.529,7.507,-26.978,-125.854
-1.392,1.275,-0.467,2.014,-27.649,-97.656
-1.331,1.228,-0.385,-2.014,-26.489,-67.566
-1.182,1.223,-0.375,-3.235,-26.489,-36.011
-1.103,1.183,-0.303,-3.418,-27.466,-4.395
-1.029,1.158,-0.331,-5.981,-29.419,23.621
-1.031,1.128,-0.327,-8.667,-27.527,44.189
-0.985,1.159,-0.260,-7.385,-32.166,65.979
-0.742,1.170,-0.281,-17.334,-47.546,84.717
-0.874,1.502,-0.131,-20.752,-46.082,101.440
-0.177,1.266,0.056,-19.043,-30.090,98.877
1.330,1.065,0.409,-17.761,-17.456,80.017
1.606,0.892,0.583,-18.066,8.667,73.425
0.912,0.952,0.264,-17.700,3.723,79.590
0.326,0.906,0.073,-35.339,-17.639,85.266
-0.721,1.287,-0.344,-63.721,-34.790,96.619
-0.536,1.856,0.040,-42.603,-26.917,99.731
0.150,1.361,0.023,-31.006,-21.301,90.332
0.743,1.015,-0.011,-35.950,-27.954,76.965
0.025,1.110,-0.259,-36.743,-38.208,78.125
-0.034,1.207,-0.187,-30.090,-43.884,78.979
0.205,1.051,-0.172,-28.503,-55.115,68.970
0.135,0.946,-0.340,-30.029,-58.167,61.401
-0.110,1.059,-0.198,-25.146,-48.828,61.096
0.045,0.999,0.005,-18.738,-33.325,60.181
0.023,1.028,-0.118,-7.385,-21.179,52.856
-0.016,0.751,-0.083,-22.217,1.160,53.040
0.198,1.152,0.071,-18.738,14.160,54.443
-0.219,1.114,-0.014,-19.592,23.804,54.016
0.435,1.065,0.139,-16.296,28.381,49.438
-0.059,0.960,-0.023,-26.733,27.649,48.828
-0.132,1.151,-0.025,-27.649,26.489,50.354
0.798,0.986,0.227,-20.996,21.851,38.086
-0.060,0.816,-0.215,-34.180,13.550,38.879
-0.390,1.269,-0.182,-27.222,10.742,39.734
1.071,0.846,0.021,-19.226,6.104,24.719
-0.805,1.014,-0.393,-33.325,7.019,32.349
0.589,1.184,0.014,-13.611,13.611,26.062
0.099,0.796,-0.240,-23.193,18.250,24.414
0.099,1.111,0.026,-14.709,23.193,27.283
0.111,0.922,-0.124,-18.127,22.583,20.508
0.210,1.042,-0.026,-13.672,23.010,19.836
0.274,0.945,-0.069,-15.320,18.188,17.212
0.060,1.001,-0.030,-15.076,15.076,16.235
0.326,0.956,-0.030,-12.207,12.329,13.000
-0.188,0.942,-0.291,-15.381,10.376,14.832
0.452,1.016,0.049,-7.812,14.648,9.949
0.079,0.906,-0.225,-13.733,11.658,13.184
-0.199,1.059,-0.195,-10.071,12.878,16.785
0.335,0.948,-0.029,-7.935,13.916,15.137
0.001,1.009,-0.197,-8.057,14.954,18.066
0.156,0.943,-0.229,-8.057,15.076,17.212
0.001,1.064,-0.083,-6.287,16.357,20.325
0.216,0.948,-0.134,-6.531,18.982,19.897
0.020,1.023,-0.109,-7.690,18.616,24.048
0.113,0.983,-0.027,-5.554,20.691,23.926
0.433,0.898,-0.149,-7.141,18.860,23.376
-0.098,1.036,-0.117,-8.606,15.869,27.649
0.235,0.953,-0.001,-7.446,16.479,25.452
0.228,0.957,-0.230,-9.583,12.512,26.245
-0.266,1.025,-0.246,-11.108,10.254,30.396
0.065,1.029,0.074,-7.996,12.695,29.358
0.577,0.942,-0.079,-6.775,12.512,25.146
-0.389,1.023,-0.535,-12.817,9.521,31.982
-0.219,1.084,0.295,-7.507,17.151,34.058
0.696,0.859,-0.311,-10.437,13.184,30.823
-0.669,1.166,-0.250,-10.925,12.451,42.053
0.432,0.878,0.089,-14.587,13.916,38.330
0.069,1.111,-0.411,-9.644,11.292,44.312
0.102,0.891,-0.028,-13.367,13.611,46.814
0.080,1.036,-0.043,-13.184,9.644,51.758
0.087,0.995,-0.167,-12.268,10.803,52.368
0.090,1.073,-0.242,-14.343,7.935,57.068
-0.023,1.089,-0.088,-14.954,8.850,60.181
0.212,1.092,-0.016,-12.817,8.789,63.232
-0.402,1.105,-0.283,-13.672,8.545,68.542
0.495,1.012,0.158,-13.611,7.568,67.139
-0.256,1.144,-0.361,-14.709,0.122,73.181
-0.204,1.115,0.152,-16.968,2.991,77.515
0.114,1.217,-0.146,-13.367,-1.953,78.979
-0.114,1.130,-0.062,-14.404,-0.854,83.435
-0.100,1.187,-0.228,-18.188,-3.601,85.632
0.001,1.221,-0.040,-16.602,-0.366,88.867
-0.101,1.224,-0.194,-18.066,-0.183,91.003
-0.180,1.261,-0.093,-16.541,5.981,95.642
0.213,1.269,0.066,-15.442,8.179,96.252
-0.167,1.276,-0.334,-16.602,5.310,100.708
-0.037,1.338,-0.052,-16.113,12.024,103.271
0.199,1.358,-0.176,-13.916,16.113,104.980
-0.226,1.401,-0.283,-16.113,19.836,115.051
-0.013,1.474,0.087,-15.930,28.564,122.559
0.472,1.513,0.101,-13.550,33.447,125.549
-0.002,1.573,-0.335,-20.630,29.419,137.329
0.030,1.803,0.179,-20.874,32.898,147.400
0.745,1.714,0.013,-21.118,37.109,149.597
0.149,1.821,-0.338,-26.184,34.851,166.077
0.772,1.601,0.060,-33.203,33.997,172.180
0.515,1.623,-0.123,-38.940,25.635,171.997
0.193,1.603,-0.044,-43.884,23.071,172.668
0.074,1.650,-0.180,-45.105,13.428,170.959
-0.041,1.598,-0.224,-40.283,-0.122,171.631
-0.114,1.456,-0.261,-38.330,-11.292,170.654
0.094,1.360,-0.311,-38.940,-20.630,161.743
0.319,1.383,-0.190,-33.813,-17.090,150.269
0.418,1.063,-0.182,-26.245,-6.897,135.620
0.327,0.783,-0.099,-23.071,11.353,116.638
0.406,0.657,-0.033,-17.090,30.945,96.985
-0.047,0.408,-0.295,-15.747,36.682,81.482
-0.456,0.244,-0.318,-15.869,35.095,69.763
0.110,0.453,-0.194,-8.484,38.208,48.340
0.411,0.632,0.000,-11.658,33.447,34.058
0.326,0.992,-0.016,0.244,34.607,13.855
0.090,0.306,-0.080,7.935,44.617,-7.385
0.052,0.263,-0.057,-0.549,39.551,-16.357
0.407,0.424,0.108,6.897,41.199,-32.166
0.501,0.341,0.121,17.090,41.382,-50.415
0.524,0.283,0.054,24.170,36.499,-69.458
0.474,0.323,-0.003,29.297,32.410,-89.111
0.468,0.385,-0.029,32.593,25.269,-107.239
0.398,0.447,-0.042,35.522,19.165,-123.413
0.275,0.486,-0.081,36.621,12.573,-138.062
0.184,0.547,-0.108,38.879,7.629,-151.917
0.129,0.588,-0.113,43.091,4.517,-164.734
0.141,0.606,-0.090,45.898,2.319,-178.406
0.162,0.633,-0.082,48.523,-0.427,-192.566
0.174,0.660,-0.107,49.316,-3.113,-206.360
0.168,0.701,-0.132,49.255,-3.723,-220.276
0.181,0.739,-0.156,48.523,-0.977,-232.117
0.193,0.809,-0.137,46.692,6.714,-240.601
0.131,0.943,-0.113,45.227,14.893,-247.070
0.054,1.047,-0.075,45.837,24.353,-251.709
0.039,1.097,-0.121,44.495,34.668,-254.761
0.023,1.167,-0.204,40.588,43.274,-259.949
-0.074,1.306,-0.212,38.452,49.500,-265.076
-0.058,1.401,-0.215,36.194,53.101,-268.066
-0.030,1.482,-0.229,30.090,51.514,-272.644
0.049,1.593,-0.222,23.987,42.297,-276.794
0.144,1.718,-0.215,19.165,27.832,-280.518
0.102,1.812,-0.194,10.071,12.695,-283.569
-0.071,1.905,-0.226,3.662,0.610,-282.593
-0.320,1.895,-0.244,-0.366,-7.263,-278.687
-0.491,1.892,-0.206,-4.456,-14.160,-273.010
-0.680,1.921,-0.166,-5.798,-14.648,-263.977
-0.824,1.953,-0.179,-7.202,-15.137,-253.784
-0.907,1.961,-0.240,-7.324,-14.160,-240.662
-1.045,1.992,-0.274,-5.676,-8.911,-223.328
-1.088,1.970,-0.286,-1.465,-6.592,-204.712
-1.092,1.816,-0.343,2.686,-7.263,-179.749
-1.179,1.552,-0.398,4.211,-14.160,-153.137
-1.180,1.337,-0.355,-0.610,-23.010,-127.991
-1.191,1.336,-0.320,-5.371,-31.128,-103.027
-1.302,1.272,-0.266,-9.094,-35.828,-75.562
-1.357,1.250,-0.191,-13.123,-41.138,-46.448
-1.375,1.200,-0.095,-14.893,-41.443,-15.320
-1.306,1.177,-0.072,-16.479,-43.213,17.029
-1.118,1.181,-0.128,-16.541,-53.894,46.570
-0.937,1.136,-0.076,-19.897,-63.538,66.284
-0.767,1.251,0.037,-20.264,-81.238,87.830
-0.601,1.307,0.077,-30.273,-91.553,104.919
0.806,1.338,0.225,-25.818,-88.074,85.266
2.151,0.953,0.742,-17.517,-59.387,62.744
1.347,0.851,0.400,-19.226,-26.489,72.815
0.004,0.799,-0.004,-25.024,-30.579,90.332
-0.305,1.058,-0.267,-47.791,-40.344,107.544
-0.507,1.687,-0.125,-57.129,-40.344,116.333
-0.424,1.811,0.325,-36.438,-20.447,118.958
0.160,1.203,-0.227,-36.804,-24.597,112.915
0.660,1.026,-0.449,-57.129,-62.744,101.929
0.482,1.291,-0.578,-53.284,-88.196,100.403
-0.013,1.385,-0.201,-29.907,-88.989,97.351
-0.131,1.267,0.185,-8.240,-72.815,88.440
-0.283,0.958,0.153,-1.770,-57.678,85.876
-0.237,0.545,-0.345,-32.471,-45.410,84.595
0.187,1.157,0.056,-29.114,-26.489,75.195
-0.422,1.043,-0.149,-20.874,-2.563,73.853
0.147,1.209,-0.056,-12.695,12.573,69.519
0.110,0.954,-0.117,-18.494,20.752,60.913
-0.262,1.107,-0.113,-21.362,20.386,61.829
0.455,1.140,0.321,-10.681,16.479,53.528
0.522,0.719,0.077,-21.729,5.920,44.373
-0.682,1.059,-0.358,-31.006,1.709,51.086
0.871,1.171,0.238,-10.376,0.671,37.476
-0.244,0.760,-0.440,-26.611,-11.108,37.048
-0.004,1.369,-0.029,-14.954,-2.808,36.133
0.515,0.775,-0.127,-14.160,-1.770,27.893
-0.121,1.069,-0.066,-13.733,6.897,32.227
0.055,0.904,-0.281,-11.230,12.817,27.710
0.218,0.990,0.042,-10.620,15.442,25.391
0.226,0.953,-0.047,-9.827,15.625,21.790
-0.016,0.963,-0.105,-12.024,13.306,21.423
0.131,0.990,0.016,-9.827,15.015,18.738
0.237,0.893,-0.106,-12.085,7.812,18.311
-0.064,1.062,-0.004,-11.108,9.094,18.311
0.480,0.811,-0.159,-11.475,7.202,13.367

0.185,0.932,-0.151,-16.541,8.545,44.250
0.035,1.072,-0.164,-16.785,7.202,51.025
0.260,0.987,-0.125,-15.564,6.714,54.688
0.044,1.016,-0.200,-15.625,4.639,61.096
0.073,1.016,-0.098,-15.015,7.568,62.439
0.374,1.010,-0.200,-13.855,5.310,63.843
-0.212,1.107,-0.221,-16.479,5.127,70.007
0.305,1.032,0.091,-15.747,8.850,69.580
-0.022,1.099,-0.313,-14.038,2.869,74.646
-0.408,1.073,-0.179,-20.203,1.526,78.918
0.341,1.154,0.156,-15.503,6.897,78.125
0.341,1.079,-0.311,-11.963,0.916,77.881
-1.002,1.172,-0.471,-22.583,-1.160,87.036
0.729,1.121,0.500,-17.090,13.245,84.595
-0.344,1.254,-0.871,-12.695,-1.404,91.736
-0.311,1.162,0.322,-23.682,11.658,95.154
0.416,1.324,-0.263,-18.921,8.667,97.656
-0.177,1.288,-0.015,-19.409,13.000,105.164
-0.132,1.312,-0.138,-27.039,13.000,108.521
0.081,1.374,-0.037,-23.499,12.146,113.525
0.091,1.347,-0.050,-28.992,11.047,117.371
-0.048,1.437,-0.170,-32.288,11.292,122.742
0.122,1.423,0.005,-34.424,18.799,127.197
0.050,1.422,-0.135,-37.659,22.827,132.874
0.335,1.567,0.132,-37.964,29.724,135.376
0.109,1.637,-0.168,-41.931,31.799,139.648
0.165,1.801,-0.040,-45.532,34.607,150.146
0.583,1.922,-0.024,-44.312,37.598,156.067
0.476,1.918,-0.073,-44.067,45.288,164.368
0.461,1.745,-0.155,-46.387,53.711,175.232
0.228,1.739,-0.172,-49.377,60.791,182.556
0.095,1.701,-0.128,-51.392,61.035,183.777
-0.063,1.699,-0.119,-50.415,57.068,184.814
-0.125,1.627,-0.112,-44.678,50.476,183.105
-0.018,1.482,-0.333,-41.809,37.292,175.476
0.114,1.507,-0.300,-36.316,25.208,163.086
0.181,1.383,-0.061,-26.672,24.719,147.644
0.394,1.097,-0.100,-23.071,29.236,129.211
0.424,0.893,-0.064,-20.569,38.208,113.159
0.302,0.729,-0.100,-15.564,42.297,99.304
-0.160,0.439,-0.273,-13.000,42.358,86.670
-0.500,0.181,-0.331,-11.353,38.635,73.120
-0.009,0.367,-0.292,-9.155,34.241,53.772
0.188,0.540,-0.004,-13.672,24.658,38.147
0.128,0.775,-0.105,0.427,26.367,16.418
-0.061,0.301,-0.072,-2.625,24.841,5.554
0.072,0.487,0.025,0.854,23.499,-4.395
0.226,0.341,0.152,11.292,26.550,-19.531
