aX,aY,aZ,gX,gY,gZ
0.212,1.597,-0.587,7.141,-1.160,36.438
0.069,1.676,-0.763,5.554,-20.264,72.449
-0.286,1.652,-1.081,2.136,-41.382,96.863
-0.587,1.641,-1.002,-1.892,-47.363,117.493
-1.078,1.725,-0.962,-7.629,-46.814,131.042
-1.347,1.962,-0.871,-4.089,-36.438,144.043
-1.330,2.040,-0.875,-0.610,-18.250,153.015
-1.200,2.095,-0.952,-2.991,7.324,153.809
-1.005,2.060,-0.983,-0.366,38.818,152.466
-0.799,1.860,-0.790,2.625,66.528,151.794
-0.595,1.679,-0.716,9.766,93.323,147.705
-0.310,1.492,-0.642,14.404,97.168,142.212
-0.015,1.370,-0.571,16.052,80.688,137.207
0.138,1.246,-0.451,15.564,51.514,129.944
0.227,1.112,-0.346,14.648,19.043,121.826
0.306,0.965,-0.254,14.404,-10.742,115.540
0.378,0.719,-0.158,10.925,-32.288,107.605
0.378,0.541,-0.143,6.287,-42.297,91.553
0.426,0.422,-0.173,4.395,-43.152,68.604
0.508,0.349,-0.191,3.784,-38.269,44.067
0.574,0.214,-0.159,3.967,-31.006,25.513
0.621,0.083,-0.094,7.629,-26.794,8.789
0.618,-0.043,-0.031,8.911,-28.015,-8.301
0.659,-0.028,0.027,9.644,-37.354,-31.616
0.684,0.030,0.004,9.949,-48.157,-57.007
0.653,0.022,-0.051,5.920,-58.655,-77.271
0.531,0.042,-0.030,1.038,-63.660,-91.858
0.455,0.063,-0.036,-0.732,-66.345,-104.126
0.330,0.021,-0.041,-4.517,-68.237,-116.150
0.231,0.027,-0.083,-6.775,-69.031,-128.479
0.183,-0.007,-0.071,-8.789,-67.200,-141.235
0.150,0.061,-0.072,-9.766,-63.965,-152.832
0.021,0.078,-0.026,-10.132,-62.073,-159.851
-0.181,0.136,0.011,-8.850,-59.326,-164.734
-0.311,0.155,0.046,-7.324,-59.021,-166.565
-0.420,0.145,0.087,-8.545,-62.134,-163.757
-0.626,0.174,0.129,-9.583,-67.322,-155.273
-0.827,0.179,0.130,-7.874,-74.158,-144.104
-1.085,0.146,0.043,-4.883,-72.266,-132.690
-1.372,0.105,-0.019,-4.272,-69.702,-119.751
-1.601,0.178,-0.131,-8.667,-56.824,-114.319
-1.791,0.125,-0.129,-17.639,-45.654,-119.507
-1.867,0.269,-0.138,-14.954,-33.997,-108.582
-1.822,0.268,-0.057,-5.188,-25.940,-65.430
-1.736,0.272,-0.066,5.798,-18.616,-18.250
-1.547,0.043,-0.016,4.211,-17.273,5.920
-1.375,-0.109,-0.047,-1.587,-20.325,25.085
-1.611,-0.445,-0.338,-16.174,-33.997,41.077
-3.374,-0.216,-0.604,-27.771,-44.067,47.668
-3.746,1.345,-0.625,-18.188,-42.725,13.733
-1.734,2.631,-0.468,3.235,-37.415,-46.204
1.508,3.148,0.342,30.273,-12.756,-95.703
2.722,1.950,-0.387,3.845,-13.794,-70.435
0.337,2.005,-1.408,-25.024,-9.888,15.625
-0.426,1.937,-0.877,16.052,8.301,90.698
-0.521,0.724,-0.592,34.790,9.827,111.694
-0.948,0.036,-0.189,52.124,3.479,103.516
-1.046,-0.257,0.204,42.358,3.357,70.190
-0.572,0.332,0.036,13.977,2.136,0.244
-0.441,0.992,-0.230,2.686,2.075,-27.954
-0.187,1.221,-0.449,5.188,-3.357,-18.127
-0.106,1.218,-0.387,9.033,-8.240,-6.409
-0.311,1.154,-0.302,14.832,-7.263,1.282
-0.369,0.994,-0.259,16.174,-5.432,3.357
-0.366,0.845,-0.261,10.498,-5.249,-0.854
-0.316,0.816,-0.281,2.197,-7.080,-9.827
-0.376,0.841,-0.302,-2.258,-8.667,-18.127
-0.420,0.837,-0.267,-5.127,-8.728,-23.926
-0.375,0.851,-0.243,-7.141,-7.019,-29.785
-0.379,0.853,-0.331,-9.705,-5.188,-33.691
-0.322,0.963,-0.354,-8.850,-1.465,-37.842
-0.302,1.056,-0.360,-5.615,4.272,-42.053
-0.318,1.059,-0.382,-2.075,6.470,-44.800
-0.280,0.972,-0.360,-1.831,2.075,-45.105
-0.271,0.949,-0.419,0.122,6.897,-48.645
-0.278,0.955,-0.454,4.883,22.278,-54.260
-0.250,0.961,-0.437,8.728,32.959,-58.044
-0.129,0.891,-0.374,3.967,32.654,-63.782
-0.078,0.873,-0.374,-3.296,24.048,-69.092
0.007,0.914,-0.347,-4.944,13.123,-68.176
0.009,0.943,-0.331,-3.113,5.432,-62.195
-0.017,0.957,-0.336,-0.671,1.831,-54.688
-0.065,0.966,-0.317,1.770,5.615,-48.584
-0.043,0.944,-0.288,2.136,12.268,-44.373
-0.037,0.901,-0.294,0.305,18.921,-39.795
-0.009,0.908,-0.234,-1.221,24.353,-33.569
0.063,0.885,-0.179,-4.028,25.879,-28.931
0.062,0.908,-0.187,-6.287,21.851,-25.269
-0.006,0.923,-0.221,-7.080,16.968,-19.836
-0.125,0.937,-0.223,-6.287,17.883,-13.489
