aX,aY,aZ,gX,gY,gZ
0.943,1.235,0.347,-44.983,61.584,175.110
1.183,1.252,0.266,-24.414,61.890,166.077
1.402,1.110,0.172,-7.080,53.345,150.574
1.487,1.273,0.060,7.202,34.119,133.606
1.275,1.237,-0.018,15.442,8.789,113.464
1.017,1.128,-0.122,13.916,-10.498,84.656
0.779,1.083,-0.090,8.545,-21.179,53.711
0.618,1.178,-0.064,3.662,-32.959,27.039
0.493,1.224,-0.076,3.418,-47.424,2.625
0.463,1.181,-0.123,8.728,-56.335,-24.780
0.407,1.066,-0.171,21.851,-54.504,-56.091
0.261,0.981,-0.225,41.565,-46.326,-87.524
0.182,0.937,-0.302,61.523,-36.499,-116.699
0.143,0.901,-0.396,77.881,-29.785,-145.325
0.062,0.811,-0.489,90.210,-23.315,-171.387
-0.022,0.722,-0.531,98.877,-16.479,-198.303
-0.054,0.782,-0.534,105.835,-8.972,-227.539
-0.097,0.843,-0.539,113.770,-2.686,-256.348
-0.141,0.828,-0.537,115.173,4.944,-283.020
-0.160,0.856,-0.507,115.295,20.447,-308.350
-0.132,0.891,-0.488,113.708,40.710,-333.740
-0.125,0.995,-0.413,109.680,61.584,-352.356
-0.061,1.106,-0.293,106.506,77.637,-366.150
0.006,1.135,-0.212,98.694,82.825,-379.150
-0.047,1.226,-0.231,90.942,87.891,-392.395
-0.106,1.301,-0.162,84.961,95.459,-404.358
-0.148,1.354,-0.049,69.824,91.370,-414.978
-0.223,1.512,-0.041,49.683,70.618,-422.852
-0.303,1.831,-0.009,37.231,39.246,-421.570
-0.463,1.934,-0.044,28.503,4.761,-409.851
-0.748,2.028,-0.073,19.165,-23.437,-397.644
-1.051,2.246,-0.144,13.184,-51.941,-386.902
-1.544,2.315,-0.224,4.089,-65.125,-364.746
-2.238,2.661,-0.365,3.052,-54.382,-330.750
-2.822,2.832,-0.500,23.010,-32.166,-282.349
-2.938,2.400,-0.730,33.142,-21.423,-229.980
-1.986,1.869,-1.176,22.766,21.545,-162.720
-2.308,1.626,-1.326,16.968,-8.911,-85.632
-3.146,1.231,-0.770,-8.789,-157.898,-32.959
-2.867,0.940,-0.785,15.198,-93.506,8.057
-3.162,0.775,-0.723,25.757,9.338,39.124
-2.834,0.709,-0.559,17.090,-13.306,92.407
-2.183,0.755,-0.629,-14.771,-47.424,125.122
-1.969,0.800,-0.605,-35.828,-72.021,132.019
-1.769,0.865,-0.313,-35.889,-82.947,163.818
-0.662,0.859,-0.908,-66.833,-107.788,174.683
-0.110,0.240,-2.869,-187.683,-141.052,190.491
2.093,2.182,0.512,-196.533,-42.053,144.836
-1.679,3.543,0.787,-172.668,-11.169,217.896
-3.092,3.747,-0.135,-117.981,-46.204,298.584
-0.118,2.272,-0.258,-112.549,4.395,290.649
-1.284,1.328,-0.472,-107.361,87.646,283.813
-1.351,0.208,-1.622,-112.915,63.538,252.136
-1.183,1.045,-1.264,-91.675,32.471,208.862
0.055,0.440,0.550,-83.618,66.345,166.870
-1.275,1.051,-0.255,-115.417,44.067,147.583
-0.658,1.508,-0.631,-106.750,15.442,125.366
-0.883,1.773,-0.470,-83.923,-0.366,118.774
0.427,1.403,-0.135,-72.144,-6.165,80.872
-0.255,1.032,-0.365,-65.674,8.484,86.365
-0.307,1.404,-0.736,-23.682,38.452,81.665
-0.202,1.193,-0.583,-11.841,44.678,75.439
-1.168,1.288,-0.988,-17.395,42.725,71.777
-0.115,1.070,-0.757,-15.747,33.386,61.340
-0.215,1.481,-0.422,-6.104,26.550,50.110
0.541,1.527,-0.271,-0.977,25.818,31.311
0.023,1.998,-0.577,-5.432,14.832,29.053
-0.519,2.669,-0.203,-7.446,10.864,33.508
-0.019,2.377,-0.789,-23.071,9.094,39.490
-0.395,2.910,-0.050,-7.568,21.973,57.434
0.651,2.134,0.300,0.305,50.781,62.195
0.181,1.982,0.004,8.179,84.778,72.327
0.231,1.862,0.035,16.785,90.576,81.238
0.767,1.630,-0.031,11.475,83.191,91.003
0.166,1.499,-0.433,-3.967,67.200,103.027
0.796,1.444,-0.128,-10.681,61.096,108.154
0.885,1.253,-0.274,-17.151,53.589,111.572
1.100,1.167,-0.146,-20.874,41.931,118.896
1.104,1.207,-0.261,-24.902,20.630,128.540
0.345,1.138,0.022,-43.640,9.766,153.137
0.620,1.328,-0.304,-56.763,3.174,161.743
0.769,1.372,-0.171,-62.378,7.935,168.274
0.968,1.315,-0.082,-61.768,14.282,177.368
1.046,1.050,-0.048,-64.941,23.193,189.514
0.599,1.134,-0.177,-80.139,31.250,205.017
0.696,1.728,-0.003,-85.205,33.508,224.792
0.865,1.556,-0.153,-55.298,41.199,214.478
0.579,0.792,-0.031,-48.279,54.871,201.965
0.839,1.098,0.228,-53.528,65.002,200.134
1.099,1.220,0.324,-45.166,74.463,182.922
1.159,1.161,0.321,-35.583,74.707,169.617
1.129,1.112,0.259,-25.757,66.101,159.668
1.248,1.057,0.194,-18.066,49.194,142.456
1.382,1.229,0.061,-10.864,19.348,123.474
1.244,1.295,-0.053,-2.258,-13.428,103.760
1.033,1.177,-0.179,1.099,-37.598,78.430
0.765,1.141,-0.169,2.869,-50.598,51.575
0.482,1.201,-0.141,8.179,-58.350,26.672
0.381,1.160,-0.158,17.578,-63.660,0.122
0.249,1.125,-0.210,28.564,-62.073,-20.996
0.138,1.110,-0.253,46.692,-49.866,-45.044
0.121,1.002,-0.323,66.589,-36.560,-72.876
0.113,0.881,-0.401,82.703,-28.625,-102.051
0.141,0.826,-0.501,95.520,-23.010,-132.690
0.064,0.767,-0.545,103.760,-18.005,-162.537
-0.046,0.778,-0.576,107.361,-10.193,-192.017
-0.186,0.889,-0.568,112.305,2.930,-218.384
-0.263,0.872,-0.487,118.225,16.479,-241.760
-0.243,0.872,-0.440,121.338,25.940,-264.954
-0.216,0.900,-0.404,123.413,32.593,-287.964
-0.201,0.941,-0.389,123.474,39.001,-307.739
-0.199,0.946,-0.358,119.385,44.434,-322.754
-0.126,0.995,-0.341,111.938,46.509,-336.731
-0.065,1.074,-0.326,103.210,44.312,-348.206
-0.052,1.131,-0.333,95.154,40.649,-361.084
-0.127,1.187,-0.328,86.304,39.429,-374.817
-0.177,1.317,-0.341,75.623,31.921,-387.329
-0.310,1.472,-0.336,65.918,19.226,-397.339

-0.361,1.477,-0.379,-84.595,-8.179,70.923
0.151,1.561,-0.162,-39.551,0.977,99.182
-0.265,1.289,-0.281,-17.517,34.790,100.952
-0.572,1.471,-0.244,-10.498,48.401,100.952
-1.372,1.244,-1.151,-15.686,37.903,94.727
-0.332,1.127,-0.715,-13.000,30.640,70.862
0.231,1.102,-0.633,-13.245,30.762,45.959
0.179,1.527,-0.367,-13.794,33.630,27.588
-0.354,1.878,-0.818,-14.587,26.367,26.855
0.349,2.317,-0.098,-15.076,17.700,30.518
-0.556,2.727,-0.545,-18.494,12.085,41.321
0.379,2.587,-0.086,-14.771,20.691,53.955
0.125,2.525,0.199,-3.601,37.476,67.383
0.587,1.950,0.244,1.587,57.251,68.542
0.159,1.831,-0.073,-1.709,61.523,78.369
0.196,2.098,0.336,8.606,67.139,82.886
0.070,1.402,-0.516,-5.676,66.772,98.633
0.406,1.631,-0.052,-8.301,50.964,113.647
1.224,1.305,-0.159,-8.118,39.551,108.704
1.170,1.076,-0.050,-16.724,37.720,114.929
1.007,1.024,-0.256,-23.132,27.954,125.000
0.692,1.037,-0.095,-39.551,15.808,142.822
0.482,1.202,-0.318,-60.364,-1.892,155.762
0.715,1.391,-0.167,-64.209,-6.714,157.288
0.850,1.156,-0.038,-70.129,6.836,157.898
0.909,1.152,0.014,-74.585,27.222,162.109
0.785,1.140,-0.072,-84.290,40.894,174.927
0.702,1.680,-0.016,-94.971,42.603,199.768
0.692,1.585,-0.274,-56.641,48.767,193.298
0.234,0.739,-0.035,-57.800,56.885,194.519
0.777,1.179,0.123,-60.181,56.641,206.299
0.989,1.393,0.353,-48.462,60.974,191.345
0.945,1.159,0.248,-42.175,62.500,176.880
1.090,1.126,0.218,-37.354,60.974,165.588
1.146,1.068,0.198,-26.489,49.866,151.978
1.137,1.010,0.100,-24.231,33.569,131.531
1.047,1.235,-0.017,-14.648,15.381,112.244
0.891,1.159,-0.103,-7.751,-2.075,92.896
0.685,1.082,-0.111,-4.089,-15.015,68.359
0.580,1.063,-0.063,0.427,-25.146,44.495
0.465,1.191,-0.059,8.423,-35.645,20.020
0.378,1.194,-0.092,19.348,-42.908,-5.310
0.320,1.186,-0.111,34.119,-42.480,-29.541
0.290,1.106,-0.166,50.415,-39.368,-56.824
0.294,1.015,-0.253,66.956,-38.147,-85.693
0.256,0.958,-0.323,81.909,-42.480,-114.441
0.243,0.857,-0.421,92.957,-50.964,-143.372
0.157,0.826,-0.462,99.426,-58.044,-173.401
-0.054,0.902,-0.522,105.164,-52.979,-201.294
-0.292,0.984,-0.561,116.699,-34.485,-224.060
-0.245,0.878,-0.534,125.244,-13.367,-247.803
-0.156,0.924,-0.531,129.883,-0.122,-269.531
-0.135,1.003,-0.550,134.521,10.010,-288.574
-0.228,1.064,-0.540,135.498,28.015,-304.260
-0.304,1.144,-0.466,133.301,49.561,-315.918
-0.247,1.180,-0.364,127.991,61.951,-325.745
-0.144,1.224,-0.323,119.141,64.758,-335.693
-0.219,1.323,-0.329,113.403,69.214,-345.276
-0.351,1.319,-0.309,108.337,75.745,-354.980
-0.497,1.319,-0.224,102.661,75.317,-363.586
-0.453,1.328,-0.195,91.614,54.932,-372.253
-0.350,1.442,-0.170,78.003,19.165,-382.446
-0.465,1.605,-0.225,66.956,-13.977,-388.855
-0.690,1.771,-0.229,60.669,-41.870,-384.460
-0.873,1.830,-0.288,55.603,-69.397,-371.704
-1.157,1.894,-0.373,45.959,-86.426,-353.027
-1.649,2.055,-0.461,41.748,-85.999,-327.148
-2.166,2.160,-0.593,42.297,-73.242,-294.922
-2.417,2.202,-0.743,40.710,-59.387,-256.836
-2.160,2.081,-0.936,40.833,-39.856,-205.139
-2.041,1.907,-1.341,36.560,-47.546,-124.695
-2.778,1.412,-1.228,11.658,-136.169,-92.285
-2.525,1.307,-1.551,17.273,-101.135,-54.138
-2.779,0.924,-1.412,15.869,-35.889,-15.503
-2.620,0.848,-1.217,15.564,-39.551,36.926
-2.254,0.820,-1.125,15.503,-43.701,92.224
-2.057,0.622,-1.143,-6.775,-32.654,113.586
-1.675,0.771,-0.960,-32.837,-30.945,125.488
-1.550,0.880,-0.633,-40.771,-35.339,152.161
-1.206,0.794,-0.357,-49.500,-52.917,179.932
-0.276,0.593,-0.782,-102.905,-90.454,172.180
1.951,0.729,-1.604,-175.110,-132.141,157.227
2.665,2.247,0.447,-140.869,-65.979,145.081
-2.669,2.896,-0.111,-149.048,-51.514,240.417
-3.086,3.417,-0.092,-148.437,-46.082,285.034
-1.367,2.110,-0.690,-151.489,2.502,272.827
-0.145,1.315,-0.017,-114.014,76.294,252.869
-0.250,-0.057,-1.008,-105.286,70.007,235.840
-0.467,0.408,-1.475,-150.085,11.169,187.439
-1.031,1.606,-0.051,-110.107,29.419,163.757
-2.276,1.302,-0.306,-114.624,9.827,145.813
-0.278,1.428,-0.215,-125.366,-0.671,102.295
0.392,2.020,0.197,-87.341,3.296,82.764
0.062,1.336,-0.212,-84.290,2.380,68.115
-0.851,1.350,-0.501,-53.162,6.409,109.985
-0.892,0.838,-0.790,-30.151,25.696,110.291
-0.670,0.940,-0.685,-20.691,33.203,95.764
0.289,0.935,-0.584,-16.724,22.034,67.383
-0.073,1.360,-0.709,-16.418,23.376,49.622
-0.261,1.396,-0.528,-21.667,26.245,40.466
-0.066,1.738,-0.127,-19.775,14.832,41.626
-0.849,1.734,-1.163,-24.902,-3.113,46.814
0.114,2.041,-0.220,-12.878,4.028,41.565
-0.058,2.196,-0.261,-19.348,10.742,28.564
0.773,2.483,0.138,-23.254,15.259,33.569
0.404,2.472,0.029,-34.058,20.447,47.729
-0.607,2.644,-0.151,-30.029,47.607,63.354
-0.112,1.965,-0.310,-26.978,67.017,77.759
-0.381,2.134,0.011,-19.958,86.426,85.022
0.485,1.883,0.151,-5.615,113.708,76.355
0.947,1.474,0.124,-15.503,107.727,91.187
1.037,1.331,0.144,-23.621,89.417,102.539
0.938,1.146,0.084,-32.654,69.885,112.549
0.754,1.052,-0.220,-42.419,48.950,122.620
0.539,1.094,-0.181,-57.556,26.794,140.869
0.325,1.235,-0.190,-72.388,12.573,153.931
0.585,1.435,0.000,-73.547,18.616,152.771
1.093,1.343,0.011,-69.519,26.428,153.992
1.027,1.056,0.091,-70.496,29.907,168.640
0.741,0.934,-0.052,-80.505,30.945,183.044
0.388,1.117,-0.319,-85.022,37.292,193.542
0.559,1.442,0.008,-90.393,43.640,205.750
0.853,1.675,-0.035,-74.768,42.236,209.717
0.398,0.896,-0.110,-60.486,55.298,186.096
0.382,0.977,0.076,-74.768,71.533,187.561
0.840,1.307,0.241,-65.735,83.313,180.115
0.998,1.346,0.287,-47.729,84.351,167.175
1.141,1.298,0.205,-35.095,72.083,155.640
1.232,1.366,0.099,-24.902,49.133,138.611
1.198,1.417,-0.008,-18.066,18.921,120.911
1.033,1.431,-0.119,-11.414,-5.859,100.891
0.756,1.295,-0.020,-7.507,-20.081,80.017
0.513,1.253,-0.004,-8.057,-31.555,60.425
0.422,1.328,-0.066,-0.549,-41.504,40.466
0.282,1.258,-0.086,9.766,-41.992,19.897
