aX,aY,aZ,gX,gY,gZ
-0.218,0.888,-0.349,15.015,19.592,4.639
-0.166,0.923,-0.351,10.986,14.893,4.761
-0.182,0.862,-0.371,10.376,10.864,11.169
-0.263,0.802,-0.356,8.850,13.611,19.653
-0.314,0.750,-0.351,7.324,18.921,24.841
-0.317,0.691,-0.339,5.920,23.621,27.222
-0.326,0.640,-0.329,4.211,22.949,24.048
-0.345,0.618,-0.272,4.333,22.034,18.494
-0.337,0.637,-0.226,5.432,21.667,19.409
-0.276,0.664,-0.211,8.240,20.447,26.855
-0.229,0.721,-0.253,11.719,17.639,34.729
-0.264,0.730,-0.264,16.357,16.968,43.274
-0.271,0.772,-0.345,16.174,20.020,48.523
-0.163,0.829,-0.412,14.832,17.212,49.744
0.044,0.987,-0.478,13.550,15.320,49.438
0.100,1.190,-0.426,16.357,16.846,55.359
-0.037,1.297,-0.394,22.583,19.348,66.650
-0.313,1.189,-0.347,24.292,20.752,72.021
-0.547,1.027,-0.313,17.944,25.024,77.271
-0.518,1.008,-0.330,9.338,36.011,92.163
-0.338,0.960,-0.298,8.850,46.509,107.788
-0.338,0.927,-0.227,10.132,52.124,118.713
-0.421,0.813,-0.299,10.498,51.086,125.488
-0.602,0.690,-0.372,13.245,46.204,121.155
-0.622,0.688,-0.361,13.489,42.297,103.333
-0.553,0.855,-0.333,11.780,38.818,85.205
-0.568,1.183,-0.306,11.597,37.598,78.308
-0.438,1.380,-0.377,12.756,42.358,89.050
-0.157,1.326,-0.451,10.986,45.837,116.821
-0.348,1.240,-0.532,10.925,40.955,139.465
-0.631,1.128,-0.554,7.751,40.771,145.447
-0.961,1.275,-0.687,1.343,37.781,136.597
-0.990,2.042,-0.674,0.488,41.077,120.605
-0.704,2.669,-0.745,14.099,53.467,125.977
-0.382,2.952,-0.717,25.391,73.242,146.179
0.073,2.963,-0.562,42.297,99.182,169.983
0.637,2.579,-0.348,51.575,116.516,182.251
0.943,2.196,-0.216,51.270,120.056,191.345
0.827,1.661,-0.201,54.199,119.690,185.059
0.640,0.972,-0.180,54.565,116.455,152.771
0.697,0.321,-0.097,50.537,100.281,111.450
0.574,-0.186,-0.005,47.974,72.449,68.420
0.245,-0.510,0.143,54.993,38.513,21.057
0.149,-0.775,-0.372,50.842,5.127,-20.935
0.391,-0.878,-0.252,52.795,5.493,-44.739
0.703,-1.131,-0.127,46.509,18.433,-42.725
1.191,-1.269,-0.223,15.259,27.771,-45.044
1.359,-0.929,-0.076,-9.521,20.203,-78.613
1.410,-0.551,-0.107,-25.513,-8.118,-136.475
1.310,-0.279,-0.132,-46.143,-36.316,-186.768
0.878,-0.019,-0.171,-56.946,-54.199,-209.106
0.319,0.151,-0.219,-61.829,-64.087,-214.417
-0.006,0.313,-0.253,-62.317,-65.002,-216.614
0.006,0.405,-0.260,-64.026,-60.913,-222.107
0.140,0.498,-0.209,-65.430,-58.533,-234.375
0.213,0.564,-0.124,-64.636,-52.612,-248.230
0.180,0.607,-0.036,-60.059,-39.917,-258.667
0.110,0.597,0.012,-57.251,-27.893,-264.526
0.035,0.616,0.061,-59.387,-21.667,-268.127
-0.122,0.655,0.081,-73.914,-17.517,-260.498
-0.276,1.006,0.166,-79.590,-24.048,-253.540
-0.344,1.067,0.218,-90.576,-34.607,-264.832
-0.370,1.381,0.094,-92.957,-36.743,-257.263
-0.573,1.645,0.017,-84.656,-36.133,-230.774
-0.766,1.738,-0.102,-87.219,-38.879,-208.008
-1.011,1.854,-0.354,-92.529,-27.222,-215.576
-1.326,1.911,-0.440,-59.204,-36.011,-192.383
