aX,aY,aZ,gX,gY,gZ
0.092,0.562,-0.225,-11.169,-86.243,-171.082
0.098,0.628,-0.253,-14.038,-88.196,-180.420
0.082,0.710,-0.279,-16.174,-88.501,-190.369
0.033,0.823,-0.325,-17.456,-86.670,-200.562
0.006,0.900,-0.366,-16.113,-82.703,-205.383
-0.009,0.896,-0.409,-17.822,-77.271,-212.585
-0.011,0.984,-0.500,-17.151,-70.862,-218.140
-0.052,1.100,-0.575,-13.977,-62.439,-222.351
-0.110,1.161,-0.602,-12.634,-52.429,-228.333
-0.156,1.236,-0.597,-14.038,-42.175,-234.009
-0.179,1.311,-0.601,-18.372,-34.302,-241.516
-0.117,1.374,-0.610,-22.949,-28.076,-247.803
-0.040,1.413,-0.631,-28.198,-23.315,-253.479
0.130,1.473,-0.619,-35.706,-24.780,-257.996
0.112,1.517,-0.605,-44.861,-29.175,-260.742
0.107,1.602,-0.596,-54.749,-36.926,-261.353
0.012,1.692,-0.596,-62.500,-44.983,-261.353
-0.138,1.798,-0.585,-63.477,-48.279,-259.094
-0.297,1.813,-0.531,-58.044,-42.847,-251.831
-0.395,1.786,-0.440,-49.072,-28.748,-235.474
-0.422,1.734,-0.414,-41.870,-12.268,-222.351
-0.452,1.722,-0.394,-36.255,5.371,-213.013
-0.447,1.697,-0.379,-30.945,16.296,-201.599
-0.438,1.594,-0.361,-26.978,21.667,-186.218
-0.381,1.493,-0.327,-26.794,15.320,-171.448
-0.419,1.393,-0.318,-26.489,8.667,-156.128
-0.516,1.350,-0.284,-25.146,4.089,-137.878
-0.672,1.326,-0.242,-24.292,0.916,-118.652
-0.875,1.307,-0.203,-22.034,4.639,-95.886
-0.972,1.249,-0.206,-16.357,13.306,-68.359
-0.921,1.184,-0.088,-9.033,22.400,-36.255
-0.722,1.128,-0.078,-3.723,26.611,-4.578
-0.490,1.106,-0.132,-2.808,23.926,22.278
-0.325,1.055,-0.185,-6.042,11.230,42.664
-0.237,1.039,-0.231,-10.254,-1.831,55.664
-0.178,1.099,-0.154,-12.756,-14.832,66.650
-0.173,1.079,-0.096,-13.000,-30.823,78.918
-0.268,1.110,-0.025,-9.399,-43.213,92.285
-0.137,1.046,-0.072,-7.446,-55.054,102.966
0.290,0.944,-0.198,-8.118,-67.261,102.966
1.091,0.909,-0.315,-10.742,-76.111,86.670
1.462,0.814,-0.232,-11.597,-69.458,67.261
1.079,0.829,0.046,-10.559,-54.077,62.805
0.524,0.852,-0.083,-9.521,-49.194,72.021
0.107,1.051,-0.140,-6.653,-51.880,83.191
-0.265,1.207,-0.256,-10.681,-56.885,94.788
-0.282,1.597,-0.180,-7.690,-46.448,95.886
-0.001,1.635,-0.128,0.977,-27.405,89.294
0.236,1.280,-0.294,-4.211,-15.137,86.060
0.169,1.019,-0.558,-13.550,-8.057,88.562
0.196,1.024,-0.662,-15.503,-6.897,91.858
0.164,1.005,-0.692,-18.250,-12.573,95.276
0.075,1.037,-0.664,-17.578,-17.395,95.764
0.333,1.039,-0.424,-6.836,-19.287,88.013
0.074,0.826,-0.355,-5.798,-13.672,85.266
0.067,0.746,-0.540,-5.493,-8.362,80.139
0.022,0.836,-0.437,-0.671,5.127,66.956
-0.321,0.994,-0.418,3.906,23.315,61.523
-0.345,1.082,-0.431,7.935,35.645,57.312
0.417,1.036,-0.378,14.160,41.565,43.274
0.435,0.867,-0.182,5.737,44.617,38.879
-0.354,0.978,-0.294,-5.310,43.640,51.208
0.463,1.109,-0.270,5.127,32.288,42.847
0.511,0.775,-0.131,-1.465,22.644,34.302
