aX,aY,aZ,gX,gY,gZ
0.133,0.920,-0.348,-0.732,16.052,2.930
0.184,0.926,-0.319,0.244,15.320,7.996
0.120,0.919,-0.368,0.427,12.817,11.169
0.205,0.911,-0.349,1.160,11.047,11.841
0.103,0.911,-0.378,0.610,10.681,14.282
0.133,0.909,-0.352,1.282,11.414,14.587
0.055,0.906,-0.361,0.366,12.268,16.296
0.125,0.916,-0.349,0.671,11.292,16.846
0.027,0.930,-0.361,0.244,11.414,18.677
0.183,0.940,-0.353,1.038,13.550,16.418
0.070,0.918,-0.393,0.122,15.015,17.456
0.124,0.904,-0.358,0.488,16.296,16.724
-0.004,0.965,-0.367,0.793,18.188,18.005
0.071,0.919,-0.339,2.197,20.081,17.029
0.055,0.952,-0.348,2.869,19.531,19.043
0.167,0.891,-0.357,3.845,19.409,18.616
0.120,0.929,-0.344,3.845,19.531,20.142
0.039,0.906,-0.353,4.089,18.433,21.790
0.059,0.942,-0.357,5.005,18.982,22.644
-0.029,0.911,-0.357,3.906,20.325,24.780
0.008,0.976,-0.353,6.470,20.325,26.001
0.144,0.881,-0.379,6.531,20.630,25.452
0.078,0.941,-0.388,7.141,20.935,27.405
0.200,0.911,-0.375,7.568,20.386,26.001
-0.062,0.953,-0.364,7.019,19.043,31.189
-0.005,0.961,-0.334,9.705,18.066,33.447
0.010,0.974,-0.329,10.986,17.334,36.987
0.143,0.858,-0.367,10.925,16.602,36.743
0.235,0.877,-0.386,10.071,15.991,37.964
-0.112,0.997,-0.344,10.498,15.381,41.687
-0.020,0.939,-0.344,11.169,16.113,42.236
-0.008,1.041,-0.336,13.611,16.541,45.227
0.048,0.911,-0.411,13.428,17.517,45.654
0.099,0.950,-0.398,14.099,19.348,46.448
-0.179,0.976,-0.393,13.123,21.057,49.194
0.008,0.970,-0.313,15.686,23.682,49.011
0.073,0.937,-0.337,14.404,25.085,52.002
-0.106,1.054,-0.348,17.029,25.879,54.626
0.218,0.949,-0.419,16.724,24.414,52.979
-0.135,1.111,-0.524,16.418,23.437,58.350
0.070,1.175,-0.401,20.508,26.978,55.542
-0.002,1.124,-0.419,20.508,27.588,58.899
