aX,aY,aZ,gX,gY,gZ
0.495,0.023,-0.143,4.211,-11.597,-119.629
0.433,0.139,-0.172,2.319,-19.714,-136.841
0.329,0.234,-0.217,1.892,-28.870,-153.687
0.232,0.295,-0.239,2.808,-35.950,-171.692
0.123,0.356,-0.244,4.761,-38.269,-188.965
0.077,0.410,-0.228,5.737,-41.687,-205.994
0.074,0.452,-0.210,6.958,-44.861,-223.694
0.103,0.485,-0.213,7.812,-46.509,-238.525
0.115,0.496,-0.235,6.470,-47.668,-252.258
0.131,0.502,-0.277,3.906,-49.072,-265.259
0.140,0.533,-0.295,1.587,-49.805,-276.978
0.181,0.587,-0.299,-0.854,-51.147,-287.109
0.230,0.626,-0.318,-5.066,-53.528,-296.753
0.287,0.694,-0.339,-10.742,-56.641,-306.152
0.289,0.785,-0.378,-17.395,-56.763,-315.979
0.257,0.923,-0.408,-22.827,-52.734,-326.233
0.282,1.033,-0.367,-27.893,-48.462,-335.999
0.346,1.223,-0.382,-35.217,-49.438,-343.933
0.317,1.388,-0.378,-44.189,-53.284,-352.295
0.338,1.645,-0.340,-48.157,-50.476,-355.774
0.273,1.771,-0.437,-57.190,-45.471,-373.596
0.232,2.085,-0.591,-55.054,-49.255,-363.525
0.101,2.396,-0.676,-45.471,-53.345,-350.037
-0.083,2.364,-0.699,-43.152,-65.613,-339.966
-0.370,2.412,-0.584,-45.044,-70.618,-330.444
-0.625,2.499,-0.521,-50.110,-73.975,-323.914
-0.796,2.574,-0.518,-52.917,-79.407,-315.674
-0.875,2.493,-0.620,-54.565,-82.703,-297.058
-0.823,2.495,-0.573,-58.960,-93.262,-274.902
-0.946,2.479,-0.674,-56.091,-107.422,-246.033
-1.200,2.249,-0.717,-52.429,-114.502,-215.820
-1.545,2.061,-0.764,-48.218,-107.849,-188.599
-2.210,2.059,-0.656,-38.330,-80.078,-154.236
-2.634,1.786,-0.400,-21.667,-31.006,-102.722
-2.268,1.293,-0.255,-10.315,5.615,-37.964
-1.531,1.118,-0.243,-8.667,15.198,25.452
