aX,aY,aZ,gX,gY,gZ
-0.066,0.515,-0.367,2.991,-30.334,-9.033
0.278,0.294,-0.138,12.390,-23.499,-39.551
0.469,-0.001,-0.100,18.250,-16.418,-71.411
0.523,-0.135,-0.089,17.822,-11.353,-98.083
0.445,-0.114,-0.114,12.634,-10.376,-118.774
0.410,-0.007,-0.166,8.911,-17.761,-133.545
0.313,0.119,-0.190,6.836,-24.170,-147.034
0.163,0.210,-0.234,5.920,-27.588,-162.903
0.075,0.276,-0.279,6.531,-31.189,-178.955
0.046,0.330,-0.289,7.629,-35.583,-193.909
0.075,0.363,-0.292,6.836,-42.542,-206.726
0.069,0.401,-0.280,4.944,-49.500,-218.079
0.086,0.441,-0.279,2.930,-54.565,-228.760
0.116,0.480,-0.275,0.549,-58.655,-240.356
0.130,0.555,-0.290,-1.709,-61.768,-250.671
0.170,0.628,-0.313,-2.625,-62.195,-259.583
0.231,0.654,-0.329,-9.094,-67.383,-272.583
0.270,0.707,-0.379,-15.259,-72.449,-281.677
0.265,0.814,-0.430,-20.813,-75.867,-287.720
0.217,0.949,-0.416,-25.635,-72.510,-297.180
0.211,1.025,-0.442,-32.166,-67.627,-308.838
0.253,1.178,-0.432,-38.330,-64.941,-315.491
0.190,1.362,-0.456,-40.100,-58.960,-319.763
0.096,1.525,-0.478,-39.124,-46.021,-326.904
0.037,1.698,-0.519,-36.499,-33.386,-332.703
0.041,1.831,-0.574,-36.804,-25.696,-336.121
0.044,1.925,-0.596,-41.199,-25.757,-338.013
-0.069,2.156,-0.633,-46.204,-32.227,-340.332
-0.237,2.348,-0.623,-43.579,-35.461,-337.402
-0.382,2.377,-0.503,-39.429,-35.950,-327.881
-0.638,2.309,-0.446,-40.283,-35.034,-313.477
-0.687,2.220,-0.502,-46.753,-40.161,-296.875
-0.557,2.285,-0.481,-51.636,-48.462,-275.818
-0.574,2.361,-0.531,-50.903,-61.951,-251.709
-0.706,2.218,-0.609,-46.265,-71.777,-224.426
-0.857,1.941,-0.551,-44.373,-78.430,-197.021
-1.308,1.811,-0.525,-43.701,-75.623,-168.030
-1.997,1.792,-0.434,-35.889,-48.035,-131.958
-2.255,1.558,-0.225,-19.470,-6.104,-80.688
-1.771,1.202,-0.098,-9.888,17.456,-20.813
-1.149,1.112,-0.195,-8.850,15.015,36.316
-0.803,1.313,-0.396,-6.165,-6.653,85.510
-0.860,1.360,-0.415,-5.859,-24.231,112.061
-0.927,1.376,-0.384,-7.690,-35.828,130.798
-1.156,1.367,-0.148,-8.606,-40.833,150.696
-1.151,1.374,-0.297,-8.728,-41.870,164.490
-0.381,1.329,-0.497,-7.812,-43.640,156.555
1.196,1.219,-0.757,-6.409,-47.119,129.089
2.216,1.136,-0.404,1.343,-21.729,99.548
1.461,1.327,0.569,16.052,7.263,107.056
0.040,1.351,0.578,16.174,-19.104,147.583
-0.441,1.421,-0.043,2.075,-57.861,168.457
-0.636,1.680,-0.302,-13.367,-70.313,172.791
-0.046,1.634,-0.666,-12.634,-73.792,166.138
-0.236,1.361,-0.358,-13.794,-59.326,153.198
-0.566,1.279,-0.516,-17.395,-24.841,148.987
-0.411,1.416,0.108,-2.441,11.658,137.573
0.166,0.849,-0.338,-6.958,22.644,125.793
-0.112,0.578,-0.455,-24.048,22.278,114.746
0.127,0.730,-0.970,-31.189,20.508,107.788
-0.815,0.843,-0.900,-38.208,27.710,108.032
0.179,1.404,-0.970,-16.235,36.133,97.656
-0.487,1.065,-0.248,-6.714,48.828,88.257
0.388,1.527,-0.557,8.423,50.232,85.449
-0.868,0.600,-0.470,-2.197,49.744,78.003
0.758,1.565,-0.061,20.508,53.467,66.162
-0.363,0.580,-0.355,-0.793,50.781,60.303
0.380,1.234,-0.168,9.827,48.340,53.284
0.149,0.887,-0.302,-2.380,41.565,44.250
0.216,1.138,-0.212,1.587,34.546,43.335
-0.132,0.907,-0.339,-2.258,27.832,36.194
0.490,0.993,-0.290,2.258,22.461,27.954
-0.620,0.874,-0.461,-5.615,22.278,30.396
0.297,0.950,-0.386,6.165,23.499,19.104
-0.073,0.823,-0.397,-2.136,26.062,19.287
-0.047,0.938,-0.452,6.409,26.489,18.311
0.155,0.732,-0.422,0.000,27.039,14.343
0.208,0.997,-0.334,5.249,28.137,14.038
0.307,0.648,-0.361,-0.916,28.931,12.878
0.152,1.145,-0.273,5.127,29.785,15.320
0.249,0.620,-0.387,-4.272,26.855,16.602
-0.288,1.271,-0.311,4.333,26.733,24.963
0.908,0.563,-0.286,2.258,25.818,14.893
-0.801,1.096,-0.545,-6.348,20.264,36.804
0.599,0.717,-0.302,4.517,24.170,22.583
-0.580,1.206,-0.392,-3.784,21.545,41.077
0.573,0.589,-0.374,4.578,28.259,25.696
-0.082,1.038,-0.378,-2.686,28.015,38.757
0.093,0.812,-0.357,0.183,32.471,30.090
0.073,0.965,-0.334,-3.174,32.715,35.095
0.096,0.979,-0.302,-2.380,33.569,32.288
-0.089,1.015,-0.324,-1.953,32.227,35.156
0.274,0.878,-0.345,-4.700,32.837,31.860
-0.549,1.256,-0.354,-2.319,32.349,43.274
0.308,0.826,-0.327,-1.160,36.926,35.583
-0.136,1.094,-0.422,-1.648,33.691,50.354
0.153,0.940,-0.371,1.099,36.865,49.927
0.027,0.992,-0.502,-1.282,34.180,60.547
0.537,1.051,-0.316,5.676,38.147,59.814
-0.245,0.943,-0.571,0.366,36.072,71.594
0.471,1.092,-0.295,9.277,42.358,69.763
-0.607,1.188,-0.630,3.174,36.926,85.876
0.571,1.369,-0.026,22.888,48.889,77.454
-0.396,0.830,-0.933,2.563,36.987,94.666
0.525,1.696,0.311,27.222,41.504,97.107
-0.570,0.982,-0.907,8.057,29.053,112.305
0.570,1.305,0.195,27.466,30.640,111.511
-0.010,1.236,-0.736,15.198,22.217,121.521
0.106,1.246,-0.259,23.499,24.536,123.840
0.162,1.361,-0.652,22.705,25.696,131.287
0.101,1.422,-0.447,27.161,30.823,136.414
0.091,1.446,-0.621,29.785,35.400,143.188
0.418,1.375,-0.442,31.250,43.091,147.705
-0.183,1.727,-0.687,33.386,50.049,161.987
0.543,1.564,-0.491,38.086,68.054,162.964
0.413,1.777,-0.701,39.978,76.233,176.147
0.817,1.904,-0.598,39.795,86.121,184.937
0.852,2.019,-0.780,37.231,85.449,199.646
1.239,1.933,-0.705,34.363,92.896,208.923

-0.898,0.288,-0.790,-10.132,12.390,34.241
0.680,1.372,-0.079,13.184,24.353,21.973
-0.218,0.411,-0.699,-1.221,21.790,22.888
0.353,1.046,-0.138,8.118,33.997,20.386
0.120,0.786,-0.496,1.221,33.142,20.142
0.187,0.972,-0.267,1.709,32.776,23.926
0.199,0.961,-0.294,0.549,27.222,23.560
0.328,0.969,-0.237,2.625,21.484,23.621
-0.081,0.737,-0.412,-5.432,14.099,30.029
-0.010,1.140,-0.281,1.526,13.367,31.921
0.078,0.713,-0.382,-0.854,9.705,31.189
-0.030,0.964,-0.312,1.282,7.874,35.583
0.098,0.839,-0.409,-0.610,9.338,32.837
-0.086,0.945,-0.422,-1.099,12.329,34.485
0.370,0.880,-0.279,0.366,18.982,29.846
-0.118,1.012,-0.460,-1.099,20.691,34.851
0.278,0.797,-0.284,-1.465,28.198,30.518
-0.633,1.117,-0.483,-2.441,25.269,43.579
0.751,0.888,-0.092,5.920,38.086,26.245
-0.873,0.809,-0.749,-10.193,22.644,52.124
0.700,1.077,-0.062,4.822,33.813,32.654
-0.822,0.979,-0.654,-7.385,22.156,58.777
0.648,0.782,-0.250,3.784,35.645,39.124
-0.097,1.016,-0.454,-5.920,25.818,59.204
0.125,0.978,-0.465,-1.221,31.433,50.842
0.090,0.989,-0.276,-3.479,31.250,62.073
0.034,1.136,-0.432,-0.366,34.790,62.073
-0.049,1.055,-0.414,-0.366,38.147,69.397
0.359,1.032,-0.368,1.099,40.588,70.801
-0.429,1.338,-0.518,0.244,35.278,85.144
0.295,1.113,-0.396,2.441,42.603,82.825
-0.167,1.324,-0.506,2.014,37.109,96.313
0.226,1.326,-0.206,4.883,43.335,98.267
-0.089,1.322,-0.448,4.456,37.781,108.826
0.519,1.385,-0.087,8.667,40.955,109.558
-0.192,1.349,-0.543,6.226,30.151,121.765
0.470,1.302,-0.233,8.179,34.790,120.605
-0.452,1.440,-0.749,5.005,25.269,136.963
0.737,1.476,-0.172,15.137,44.312,127.563
-0.697,1.327,-1.093,3.174,32.349,152.466
0.805,1.615,-0.089,20.142,59.937,143.127
-0.125,1.618,-1.014,15.076,58.777,163.330
0.727,1.464,-0.371,20.813,81.482,158.020
0.217,1.833,-0.868,19.897,84.595,168.213
0.765,1.853,-0.590,24.170,106.689,165.344
1.064,2.156,-0.827,30.823,111.023,182.312
0.895,1.999,-0.844,34.973,113.037,197.876
0.791,1.990,-0.803,24.841,109.863,205.200
0.658,1.929,-0.784,17.395,106.689,207.458
0.311,1.938,-0.693,6.287,97.656,206.909
0.107,1.876,-0.722,4.272,83.252,204.773
0.224,1.802,-0.824,6.287,72.449,193.726
0.439,1.638,-0.694,14.709,78.491,179.077
0.783,1.278,-0.791,17.700,84.473,162.415
0.796,0.955,-0.627,14.465,83.923,144.043
