aX,aY,aZ,gX,gY,gZ
0.250,0.522,-0.392,3.784,-58.655,-158.630
0.205,0.564,-0.388,7.874,-66.162,-163.269
0.132,0.541,-0.402,7.996,-75.928,-167.358
0.201,0.503,-0.279,1.709,-88.013,-171.082
-0.002,0.351,-0.505,-12.878,-69.946,-183.472
0.211,0.844,-0.452,1.343,-96.619,-184.021
0.097,0.563,-0.492,-7.324,-107.300,-194.763
0.115,0.903,-0.557,-7.812,-110.779,-205.872
0.098,0.941,-0.564,-10.559,-111.633,-219.360
-0.000,0.966,-0.559,-1.953,-110.168,-229.248
-0.139,0.906,-0.544,4.456,-102.722,-234.314
-0.288,0.769,-0.502,7.263,-91.614,-230.713
-0.426,0.696,-0.486,6.104,-81.055,-218.628
-0.502,0.597,-0.448,-2.075,-72.754,-202.332
-0.507,0.684,-0.478,-8.179,-61.096,-186.584
-0.395,0.934,-0.576,-7.690,-54.016,-178.223
-0.240,1.118,-0.728,-19.714,-50.903,-184.753
-0.046,1.493,-0.859,-31.616,-60.364,-198.792
-0.004,1.703,-0.919,-29.724,-76.782,-206.482
-0.222,1.686,-0.887,-16.296,-97.656,-200.073
-0.658,1.501,-0.844,-8.972,-113.403,-183.960
-1.043,1.398,-0.748,-7.812,-120.483,-163.574
-1.195,1.288,-0.615,-18.372,-118.164,-148.804
-1.468,1.382,-0.506,-32.288,-113.770,-138.916
-1.798,1.294,-0.486,-50.049,-111.511,-127.808
-1.876,2.113,-0.501,-14.954,-90.027,-108.093
-2.068,1.152,-0.172,-39.795,-69.031,-98.877
-2.072,1.638,-0.333,-47.729,-52.246,-85.571
-2.157,1.639,-0.361,-15.015,-43.701,-68.604
-2.239,1.382,-0.248,-0.854,-50.537,-51.758
-2.356,1.257,-0.296,20.020,-51.880,-32.837
-2.465,0.961,-0.211,35.706,-42.847,-13.977
-2.427,0.690,-0.199,19.165,-32.593,-0.854
-2.279,0.727,-0.160,2.380,-26.672,9.460
-2.305,0.542,-0.232,-12.695,-15.320,18.799
-2.209,0.565,-0.192,-13.428,-13.367,40.039
-2.196,0.528,-0.258,-6.104,-1.892,65.674
-2.073,0.606,-0.253,-17.029,10.010,86.060
-1.925,1.123,-0.193,4.517,20.935,97.717
-1.604,1.499,0.039,47.729,27.832,98.877
-1.263,2.270,-0.168,7.507,30.701,71.960
1.198,3.766,-0.835,273.315,-26.428,84.290
-0.573,0.663,-0.504,318.359,-85.815,90.576
-0.014,0.770,-0.147,239.868,-86.670,67.566
0.137,0.620,0.373,174.805,-81.604,55.725
-0.781,-0.378,-0.026,-9.338,-29.846,1.343
0.143,0.791,-0.306,-97.595,24.475,-3.845
0.168,1.632,-0.314,3.418,10.864,30.029
-0.303,0.664,-0.448,12.390,3.296,17.700
-0.095,1.125,-0.286,37.476,17.151,3.174
0.155,0.830,-0.110,21.545,9.460,-11.169
-0.094,0.922,-0.061,-9.399,-4.517,-7.751
0.373,0.849,-0.040,-34.485,-16.968,-3.784
-0.029,0.985,-0.104,-39.063,-20.691,0.854
-0.111,1.011,-0.226,-31.006,-18.677,7.812
0.016,1.009,-0.269,-31.067,-18.677,9.399
-0.061,0.948,-0.344,-31.982,-13.733,8.850
-0.085,1.038,-0.294,-31.555,-10.986,10.742
0.072,0.988,-0.306,-32.471,-8.972,11.108
0.012,0.960,-0.297,-27.649,-1.526,11.841
-0.104,1.003,-0.312,-17.639,7.019,13.428
0.157,0.931,-0.260,-12.756,12.573,13.550
0.072,0.982,-0.309,-13.000,9.460,12.939
-0.144,0.891,-0.355,-12.085,9.338,11.902
0.221,1.022,-0.313,-11.597,16.785,7.324
-0.021,0.987,-0.333,-1.343,14.832,11.597
-0.258,0.998,-0.293,3.784,9.888,15.808
0.054,0.911,-0.265,0.977,11.902,15.198
0.370,1.018,-0.297,0.854,8.423,14.404
-0.385,0.985,-0.393,5.554,5.371,19.104
-0.278,0.902,-0.281,6.714,8.850,24.170
0.453,1.045,-0.200,4.211,8.667,23.254
-0.495,0.880,-0.347,11.780,4.578,26.733
-0.071,1.026,-0.236,10.132,8.789,26.855
0.172,0.897,-0.199,7.629,8.423,28.687
-0.234,0.886,-0.378,7.690,3.540,26.733
-0.210,0.979,-0.241,7.080,2.014,25.452
0.120,0.874,-0.266,5.615,4.700,24.475
-0.113,0.974,-0.318,10.620,8.423,22.766
-0.199,0.990,-0.273,15.076,6.897,23.437
-0.016,0.821,-0.265,12.024,6.775,21.973
-0.006,0.896,-0.280,5.676,10.315,16.174
-0.365,0.914,-0.250,4.089,6.836,16.357
0.134,0.883,-0.234,4.944,5.127,13.977
-0.123,0.975,-0.221,5.310,2.808,11.597
-0.358,0.899,-0.263,2.808,-0.183,11.658
-0.097,0.845,-0.216,-0.122,-0.122,9.766
-0.147,0.897,-0.238,0.183,1.038,8.667
-0.173,0.933,-0.327,1.648,3.113,7.080
-0.224,0.876,-0.239,0.000,3.784,4.883
-0.151,0.871,-0.251,-4.517,2.747,3.296
-0.114,0.951,-0.247,-6.104,0.732,0.916
-0.220,0.906,-0.259,-5.493,-1.343,2.258
-0.153,0.919,-0.264,-2.747,0.061,1.648
0.063,0.972,-0.256,-0.061,-0.488,1.160
-0.234,0.878,-0.303,-2.563,-2.930,2.319
-0.155,0.937,-0.281,-4.089,-1.038,2.625
0.058,0.964,-0.240,-7.080,-1.221,1.526
-0.261,0.931,-0.305,-4.822,-2.014,4.883
-0.460,0.935,-0.281,-3.784,1.160,7.324
0.065,0.938,-0.248,-7.324,3.479,5.188
0.026,1.009,-0.303,-6.226,5.493,4.639
-0.779,0.853,-0.334,-7.568,6.836,10.620
0.172,0.942,-0.239,-8.545,7.935,10.132
-0.223,0.931,-0.243,-13.306,4.700,11.536
-0.609,0.982,-0.408,-11.353,3.235,18.494
0.142,0.962,-0.246,-13.367,3.540,18.921
-0.324,0.870,-0.294,-12.634,2.991,26.489
-0.208,1.114,-0.366,-5.615,8.179,32.227
0.017,1.020,-0.311,-5.859,8.789,38.269
-0.250,0.883,-0.337,-7.080,10.803,44.250
-0.302,1.073,-0.332,-6.592,16.235,48.889
-0.197,0.990,-0.361,-3.601,22.766,58.838
-0.020,0.982,-0.332,-7.141,27.588,62.317
-0.597,0.924,-0.286,-6.470,25.269,73.792
0.106,1.146,-0.342,-8.118,26.855,80.383
-0.277,0.900,-0.242,-13.916,28.198,85.632
-0.624,1.009,-0.314,-18.799,30.212,97.839
-0.144,0.974,-0.366,-24.597,37.415,106.201

-2.154,1.288,-0.124,-36.804,-77.881,-93.140
-2.590,1.129,-0.338,-32.837,-46.936,-80.933
-2.744,1.245,-0.276,20.752,-48.950,-49.438
-2.789,1.123,-0.168,46.997,-16.724,-26.733
-2.715,0.924,-0.154,39.063,-9.521,-10.254
-2.572,0.968,-0.261,33.508,-5.005,2.869
-2.493,0.736,-0.334,22.400,0.671,15.381
-2.453,0.642,-0.408,8.606,0.549,32.410
-2.552,0.870,-0.343,23.071,-1.099,59.387
-2.691,0.678,-0.343,22.949,10.071,76.233
-2.940,1.595,-0.481,-42.603,14.343,44.678
-1.412,3.425,-1.919,226.257,29.480,58.105
-0.465,0.389,0.132,257.935,-44.128,64.514
0.070,0.842,-0.288,203.186,-74.707,23.254
-0.147,0.865,0.054,170.532,-72.998,21.240
-0.210,-0.148,-0.096,16.785,-35.156,-3.113
-0.302,0.361,-0.309,-89.417,14.648,-16.785
0.024,1.286,-0.471,-68.604,54.199,-2.136
-0.200,1.530,-0.333,36.621,27.588,22.766
-0.206,0.434,-0.384,7.874,18.616,-4.089
-0.185,1.474,-0.331,30.518,19.226,-7.690
0.068,0.704,-0.159,27.771,11.963,-7.385
0.057,0.823,-0.080,-4.944,-4.333,-8.545
-0.079,1.009,-0.149,-0.549,-6.653,-0.122
0.317,0.810,-0.126,-22.156,-12.451,-4.150
-0.105,1.067,-0.336,-26.367,-9.033,-3.357
0.085,1.049,-0.248,-19.714,-14.709,3.479
0.170,0.998,-0.290,-13.794,-18.677,7.935
-0.172,1.031,-0.401,-7.019,-7.324,11.536
-0.178,1.028,-0.258,-1.587,-0.977,16.479
0.294,0.959,-0.219,-10.986,4.944,12.146
-0.105,0.942,-0.248,-9.949,7.202,16.541
-0.425,0.851,-0.302,-16.907,5.676,19.287
0.554,0.993,-0.236,-21.423,7.446,15.015
-0.462,0.887,-0.329,-21.545,3.357,15.747
-0.103,1.102,-0.359,-15.137,5.493,15.198
0.213,0.942,-0.201,-5.737,8.240,17.212
-0.198,0.914,-0.352,-2.869,6.042,16.174
-0.156,1.041,-0.285,3.906,10.376,15.625
0.132,0.828,-0.262,3.540,8.057,15.198
0.063,0.978,-0.326,3.479,5.737,12.207
-0.229,0.933,-0.315,5.859,5.920,11.780
0.016,0.952,-0.250,7.812,5.005,12.085
0.106,0.941,-0.227,9.155,4.517,10.742
-0.438,0.862,-0.285,4.944,2.502,11.047
0.257,0.993,-0.318,3.357,3.662,6.836
-0.139,0.896,-0.268,0.671,-0.305,5.371
-0.417,0.945,-0.324,1.465,-2.747,8.545
0.063,0.969,-0.241,4.089,-3.784,8.545
-0.195,0.825,-0.225,1.221,-5.127,8.423
-0.093,1.010,-0.284,-0.671,-5.676,5.737
-0.251,0.858,-0.249,-1.404,-5.981,5.676
-0.034,0.909,-0.271,-4.272,-6.226,3.052
-0.157,0.934,-0.273,-2.930,-6.592,2.014
-0.203,0.920,-0.289,-0.488,-5.310,3.479
0.026,0.927,-0.283,1.404,-3.235,1.709
-0.061,0.972,-0.266,2.197,-4.272,1.038
-0.226,0.903,-0.328,3.601,-3.418,3.113
0.058,0.961,-0.278,5.127,-2.258,0.427
-0.084,0.890,-0.271,3.784,-3.479,0.305
-0.290,0.930,-0.320,0.610,-3.357,0.793
-0.239,0.945,-0.278,2.991,-1.465,2.563
0.182,0.937,-0.232,2.014,-0.671,-0.732
-0.238,0.910,-0.302,1.099,-0.671,-0.183
-0.618,0.935,-0.340,5.188,0.854,5.188
0.515,0.945,-0.163,1.953,3.235,1.099
-0.497,0.839,-0.285,-5.127,1.709,5.249
-0.263,1.073,-0.386,-0.061,0.916,8.057
0.148,0.922,-0.201,-3.235,3.540,7.446
-0.257,0.843,-0.314,-3.845,4.395,11.902
-0.327,1.024,-0.309,-1.465,6.958,12.695
0.066,0.985,-0.264,-4.395,6.897,15.015
0.009,0.926,-0.284,-4.272,8.484,16.235
-0.286,0.921,-0.276,-6.042,6.653,18.616
-0.260,0.909,-0.370,-5.066,7.812,21.851
0.096,0.943,-0.239,-10.315,5.737,20.813
-0.500,0.859,-0.301,-13.672,4.639,25.208
0.168,1.034,-0.327,-10.803,7.080,25.330
-0.184,0.986,-0.296,-10.864,7.874,30.334
-0.412,0.962,-0.369,-4.700,8.545,40.039
-0.081,0.948,-0.268,-7.690,11.292,42.542
-0.235,0.976,-0.357,-10.071,14.099,47.913
-0.262,1.019,-0.328,-7.080,13.916,55.359
-0.172,1.009,-0.346,-7.568,14.404,63.965
-0.188,0.927,-0.270,-9.094,18.616,69.641
-0.314,1.024,-0.306,-12.878,22.949,76.416
-0.063,0.987,-0.310,-13.977,25.574,85.510
-0.196,0.973,-0.308,-18.372,30.396,88.196
-0.517,1.004,-0.395,-21.240,37.048,97.961
-0.003,1.047,-0.374,-25.574,44.128,103.699
-0.387,0.867,-0.348,-29.236,48.096,112.488
-0.593,0.974,-0.422,-37.659,55.176,126.831
-0.067,1.137,-0.422,-48.218,66.895,136.902
-0.088,1.219,-0.386,-45.654,75.562,152.405
-0.991,1.045,-0.432,-50.720,80.933,179.321
-0.063,1.668,-0.665,-62.256,88.196,199.951
-0.650,1.345,-0.443,-45.776,101.135,229.980
-0.676,1.568,-0.689,-58.899,104.126,246.826
-0.515,2.133,-0.875,-66.345,104.248,265.930
-0.751,1.997,-0.880,-65.369,105.103,283.325
-0.790,2.313,-1.135,-58.533,96.680,283.447
-0.573,2.069,-1.243,-73.486,82.336,271.301
-0.548,2.554,-1.258,-75.562,74.280,252.991
-0.315,2.787,-1.064,-57.373,72.205,243.530
0.253,2.610,-0.744,-26.184,75.256,248.596
0.428,2.022,-0.342,6.897,86.487,273.132
-0.443,0.805,-0.014,2.319,110.779,278.259
-0.651,2.699,-0.627,-20.386,134.583,182.922
0.726,2.757,-0.331,-5.432,125.916,97.961
0.672,2.376,-0.581,-12.329,111.877,14.771
0.671,1.923,-0.519,35.156,97.656,-28.870
0.311,1.081,-0.308,32.288,88.745,-59.143
