aX,aY,aZ,gX,gY,gZ
0.160,1.222,-0.196,2.441,-36.560,168.762
-0.077,0.746,-0.233,15.747,-38.940,147.461
0.635,1.186,-0.312,12.634,-34.180,121.033
0.434,1.235,-0.266,62.561,-26.855,116.577
0.234,1.152,-0.146,110.107,-20.325,119.324
0.395,0.849,0.048,130.737,-10.559,130.676
-0.368,1.051,-0.041,143.616,-6.226,140.442
-0.162,0.978,0.052,113.037,-5.371,144.470
0.175,1.454,0.143,49.927,-7.568,135.254
-0.429,1.606,0.243,47.852,5.737,135.132
0.177,0.959,0.296,-3.113,12.146,132.751
-0.177,1.493,0.033,-3.174,12.939,133.911
0.068,1.250,-0.160,-11.780,20.447,131.836
0.228,1.441,-0.338,-9.094,14.343,118.835
0.250,1.258,-0.387,-2.625,13.916,106.323
-0.000,1.536,-0.384,15.686,16.174,92.224
-0.016,1.087,-0.165,10.071,14.893,80.811
0.266,1.131,-0.168,-13.306,9.094,68.604
-0.182,1.375,-0.224,-16.846,10.132,56.946
0.302,1.362,-0.348,-9.033,-0.427,37.354
-0.015,0.995,-0.226,4.272,-3.662,27.893
-0.052,1.006,-0.090,2.991,0.732,20.569
0.028,1.021,-0.180,2.258,1.892,10.559
0.024,0.904,-0.100,-3.357,3.052,11.230
0.004,0.975,-0.187,0.610,4.944,10.132
0.100,0.927,-0.208,-11.597,4.578,6.226
0.016,0.866,-0.225,-23.804,3.052,1.526
0.016,0.954,-0.159,-22.827,5.737,2.808
0.138,1.003,-0.169,-18.372,4.272,2.441
0.153,0.996,-0.226,-11.108,5.737,2.808
-0.049,0.975,-0.187,1.343,9.155,7.996
0.141,0.984,-0.193,5.493,8.789,6.653
0.173,0.867,-0.167,-11.292,3.723,4.456
-0.071,0.968,-0.202,-22.278,0.244,5.310
-0.171,0.982,-0.195,-11.536,0.916,4.883
0.195,0.983,-0.276,-8.484,1.404,2.441
0.025,0.933,-0.176,-9.705,2.563,6.531
-0.378,0.972,-0.123,-9.888,2.502,10.010
0.356,0.908,-0.276,-17.517,1.770,0.183
-0.229,1.019,-0.166,-14.526,1.587,6.836
-0.166,0.980,-0.233,-5.859,3.052,9.399
0.099,0.930,-0.255,-9.094,2.502,2.563
-0.110,0.996,-0.161,-6.104,4.822,6.958
0.156,0.924,-0.235,-10.803,3.601,5.066
0.072,0.967,-0.253,-14.160,-0.549,4.150
-0.159,1.001,-0.216,-9.399,0.671,4.272
0.098,0.939,-0.251,-6.653,1.770,4.333
-0.048,1.004,-0.225,-2.808,3.174,5.188
-0.015,0.937,-0.195,-5.127,1.892,3.662
0.040,0.979,-0.230,-1.526,2.197,5.554
-0.048,0.947,-0.212,0.488,5.249,6.042
0.128,0.946,-0.259,-10.864,1.770,1.892
0.003,0.941,-0.245,-6.897,1.038,5.493
-0.216,1.000,-0.208,-7.202,-0.061,4.578
0.035,0.934,-0.245,-4.333,1.404,4.395
-0.137,0.977,-0.212,-0.183,4.761,6.409
0.004,0.890,-0.235,-6.775,2.930,3.540
-0.163,1.047,-0.213,-0.671,2.747,6.042
0.030,0.898,-0.268,-2.319,3.113,3.906
-0.074,0.993,-0.231,6.287,5.188,6.470
-0.164,1.000,-0.223,0.916,3.601,4.456
0.173,0.890,-0.265,-2.869,5.127,2.502
-0.093,1.044,-0.188,-0.122,3.906,4.517
-0.132,0.970,-0.225,6.348,4.578,5.310
0.188,0.914,-0.257,1.160,4.822,3.601
-0.150,0.974,-0.220,5.371,8.301,5.615
-0.324,0.985,-0.189,3.052,5.371,5.310
0.044,0.901,-0.246,-0.122,3.967,4.150
0.347,0.953,-0.273,-1.953,6.836,3.784
-0.382,1.001,-0.215,7.385,10.315,6.348
-0.228,0.938,-0.252,10.193,9.827,4.150
0.385,0.969,-0.278,11.047,7.263,5.676
-0.522,1.046,-0.162,25.757,9.460,10.864
-0.037,0.897,-0.315,17.700,7.751,6.226
0.115,0.947,-0.229,21.301,13.733,10.010
-0.091,0.955,-0.194,25.391,17.090,12.024
-0.275,1.070,-0.211,23.743,11.902,15.015
0.040,0.914,-0.233,16.785,15.198,18.127
0.196,0.915,-0.215,12.573,14.648,21.057
-0.238,1.059,-0.183,17.517,12.939,27.771
-0.078,0.953,-0.207,15.015,10.803,34.180
0.100,1.029,-0.204,13.611,10.376,41.321
-0.420,0.999,-0.171,13.184,10.864,49.438
0.190,1.092,-0.247,9.827,6.836,56.763
-0.050,0.949,-0.170,11.169,5.798,64.697
-0.382,1.009,-0.199,10.986,6.104,71.655
-0.007,1.065,-0.229,8.179,8.118,72.144
-0.189,1.090,-0.207,9.216,10.498,75.684
-0.184,1.170,-0.255,8.301,8.667,79.956
-0.234,1.056,-0.231,6.653,12.756,96.436
-0.085,1.112,-0.267,2.808,22.278,114.319
-0.168,1.171,-0.254,4.333,32.043,133.423
-0.098,1.245,-0.236,-0.488,40.283,152.100
-0.035,1.210,-0.229,-7.690,45.898,166.016
-0.313,1.189,-0.213,-7.935,50.537,179.993
-0.137,1.285,-0.282,-22.095,53.406,196.960
-0.241,1.505,-0.296,-24.475,57.312,215.942
-0.455,1.504,-0.356,-14.587,62.317,236.206
-0.560,1.667,-0.493,-6.409,65.979,249.390
-0.275,2.030,-0.644,-2.075,67.261,254.089
-0.674,2.029,-0.488,19.104,68.542,260.132
-0.686,1.788,-0.503,26.245,65.674,260.071
-0.144,2.389,-0.810,17.517,54.016,239.563
-0.691,2.238,-0.573,25.940,49.988,234.863
-0.204,1.639,-0.329,24.536,50.110,245.361
0.335,1.765,-0.311,27.039,45.471,245.789
0.362,1.461,-0.278,38.879,49.316,251.221
-0.164,0.781,-0.129,31.067,74.463,254.944
-0.024,2.041,-0.303,20.142,106.323,199.463
0.575,1.981,-0.235,15.625,116.638,124.268
0.834,1.855,-0.329,-18.555,123.230,60.730
0.683,1.696,-0.339,0.122,124.390,23.621
0.514,1.291,-0.309,18.250,119.812,-3.235
0.428,0.869,-0.260,33.875,109.680,-23.132
0.420,0.593,-0.278,41.443,98.328,-37.842
0.442,0.467,-0.313,47.607,85.999,-46.631
0.450,0.338,-0.334,50.598,72.449,-52.002
0.451,0.218,-0.358,42.175,59.814,-55.542
0.460,0.248,-0.410,27.222,48.218,-57.678
0.473,0.294,-0.443,11.963,37.170,-61.340
0.523,0.347,-0.464,-3.906,24.353,-69.580

0.475,0.438,-0.423,35.278,8.484,-83.130
0.521,0.544,-0.467,26.672,-2.991,-99.426
0.552,0.614,-0.482,16.785,-15.747,-120.056
0.548,0.669,-0.474,6.104,-31.006,-141.907
0.505,0.723,-0.462,-3.723,-47.058,-161.804
0.430,0.770,-0.445,-12.512,-61.707,-177.795
0.336,0.789,-0.420,-19.287,-74.097,-190.430
0.247,0.744,-0.390,-26.917,-83.130,-200.134
0.127,0.649,-0.330,-38.208,-87.219,-206.726
0.001,0.621,-0.265,-50.964,-85.815,-210.327
-0.103,0.654,-0.222,-62.927,-80.261,-209.534
-0.213,0.743,-0.195,-68.298,-71.472,-203.735
-0.297,0.815,-0.161,-72.571,-58.167,-197.510
-0.130,0.639,0.031,-97.900,-44.556,-195.740
-0.248,1.158,-0.131,-90.637,-27.344,-194.153
-0.104,1.412,-0.063,-73.425,-46.997,-191.101
-0.298,1.661,-0.181,-10.864,-32.349,-181.580
-0.316,1.692,-0.197,6.165,-2.380,-188.538
-0.335,1.653,-0.227,11.108,22.827,-200.134
-0.313,1.675,-0.229,9.949,33.630,-210.144
-0.347,1.526,-0.241,-0.549,31.494,-217.834
-0.379,1.396,-0.263,-18.188,29.785,-222.656
-0.395,1.362,-0.275,-32.349,24.902,-220.337
-0.510,1.566,-0.345,-29.541,23.010,-208.679
-0.537,1.459,-0.349,-32.288,28.625,-200.317
-0.509,1.588,-0.370,-32.654,30.762,-192.200
-0.498,1.641,-0.425,-36.011,33.264,-187.012
-0.463,1.717,-0.447,-36.621,29.114,-182.434
-0.439,1.729,-0.494,-37.842,21.973,-180.115
-0.375,1.725,-0.531,-41.565,12.451,-180.298
-0.340,1.609,-0.569,-56.580,-1.038,-183.960
-0.311,1.587,-0.551,-75.439,-18.738,-188.721
-0.342,1.527,-0.508,-91.003,-35.461,-190.552
-0.394,1.614,-0.434,-98.450,-53.162,-187.195
-0.474,1.433,-0.287,-121.033,-64.758,-184.082
-0.587,1.168,-0.036,-137.024,-70.129,-174.561
-0.678,1.360,0.165,-154.053,-73.059,-165.527
-0.787,1.775,0.301,-141.663,-71.228,-154.602
-0.768,1.991,0.433,-114.441,-73.853,-147.034
-0.929,2.216,0.357,-70.068,-77.148,-139.893
-1.054,1.937,0.330,-29.846,-79.590,-132.507
-1.292,1.549,0.246,-4.089,-79.651,-121.094
-1.542,1.083,0.202,-0.610,-79.468,-105.042
-1.798,0.666,0.167,-8.972,-72.327,-82.397
-1.911,0.362,0.199,-28.137,-60.425,-55.786
-1.757,0.238,0.351,-54.749,-58.899,-27.649
-1.819,0.409,0.263,-71.411,-44.128,-3.540
-1.639,0.726,0.326,-77.026,-35.156,20.935
-1.543,1.266,0.330,-62.561,-27.649,52.124
-1.527,1.537,0.206,-16.968,-7.385,78.186
-1.286,1.596,0.298,27.832,-24.414,105.164
-1.314,1.418,0.128,39.856,-12.207,136.169
0.305,1.507,-0.101,20.630,-10.986,174.011
0.187,0.499,-0.185,20.996,-5.310,147.278
0.402,1.344,-0.304,29.114,4.578,127.930
0.556,1.108,-0.207,77.942,8.606,125.610
0.249,1.197,-0.180,120.117,10.742,124.390
0.278,0.977,-0.153,151.306,9.155,133.911
0.073,0.992,-0.204,140.869,-2.686,139.465
-0.034,0.982,-0.294,104.004,-8.667,133.850
0.306,1.176,-0.285,61.157,-3.540,122.620
0.124,1.531,-0.143,63.721,-6.287,116.760
-0.194,1.271,0.062,70.251,1.709,122.742
0.173,0.806,0.113,35.461,5.188,133.606
0.135,1.313,-0.090,21.179,7.141,129.150
-0.423,1.266,-0.006,18.372,11.475,122.986
0.496,1.106,-0.186,-11.169,7.263,104.980
-0.260,1.538,-0.246,5.737,5.554,98.083
0.041,0.796,-0.111,-8.911,10.559,100.220
0.285,1.565,-0.318,7.263,6.592,87.341
0.050,1.010,-0.207,13.855,11.169,80.566
-0.013,1.271,-0.266,0.183,9.155,68.726
0.023,1.483,-0.312,14.465,3.601,53.223
0.173,1.134,-0.290,25.879,-0.427,38.208
0.017,0.984,-0.068,17.761,-0.488,25.513
0.102,0.921,-0.086,-2.747,3.174,13.306
-0.151,1.004,-0.152,-12.573,8.301,10.376
0.336,0.924,-0.195,-20.752,7.690,7.019
-0.041,1.075,-0.260,-12.268,7.141,3.540
-0.146,0.948,-0.137,-9.216,6.409,8.423
0.111,0.967,-0.189,-6.897,5.798,4.639
